responsible     adj.有责任；承担义务的；应受责备；可信任的
former     adj.前, 以前的, 昔日的, （两者中）前者的
kid     n.小孩, 年轻人, 小山羊, 小山羊皮革
lift     v.举起；提高；解除，撤销，停止（限制）；消散
candidate     n.(可以获得某种结果、待遇或职务的)待选人(或物); 申请人, 求职申请人; 选举候选人; 考生, 报考者
string     n.绳, 线; (一)串; 一连串; 弦; 字符串; 附带条件
primarily     adv.主要地, 根本地
drink     v.喝, 喝酒, 饮, （尤指）酗酒
prime     adj.首要的, 主要的; 最初的; 基本的; 最好的; 头等的, 第一流的; 青春的; 精力旺盛的; [数]素数的
strongly     adv.强烈地, 坚决地, 大力地, (气味)浓烈地
principal     n.校长; 院长; 负责人; 主要演员; 本金; 委托人; 主犯
implication     n.暗示，含义；可能引发的后果
commercial     adj.商业的
commission     n.委员会；佣金，回扣；手续费；正式委托；犯错，犯罪行为
impression     n.印象；印记
objective     n.目标；目的；物镜
fly     v.飞, 飞翔, 航行, （乘航空器或航天器）航行
billion     adj.〈美、法〉十亿的, 〈英、德〉万亿的, 无数的
capital     n.资本，资金；首都，省会；大写字母
apart     adv.分开, 分离, 相距, 不在一起
professional     adj.职业的, 专业的, 有职业的, 娴熟的
successful     adj.达到目的的, 有成效的, 获得成功的, 有成就的
complete     adj.完成, 结束, （用以强调）完全的, 全部的, 完整的
complex     adj.复杂的,合成的
sudden     adj.突然的, 忽然的, 突如其来的
blame     v.把……归咎于，责备
silence     n.沉默, 寂静, 无声, 缄默
fuel     n.燃料, 燃油, 【新闻传媒】推动力
medicine     n.医学, 药, （尤指）药水, 医疗, 医务工作
association     n.联合; 结合; 关联; 交往; 联想; 协会; 社团; [化]缔合
sun     n.太阳, 日, 太阳的光和热, 阳光
boat     n.小船, 舟, 汽艇, （泛指）船
conference     n.会议
useful     adj.有用的, 有益的, 实用的, 有帮助的
wing     n.翼, 机翼, 厢房, （飞行器的）翅膀
thirty     n.三十几, 三十年代
survive     v.活下来; 幸存; (在困境中)坚持下来; 艰难度过; 比…活得长
belong     v.应在（某处），适应，合得来，属于
accommodation     n.住处；住宿，膳宿；和解，调解，通融；适应，调节
pupil     n.学生, (尤指)小学生, 弟子, 瞳孔
various     adj.各种各样的；迥异的，千差万别的
category     n.种类，类别
vehicle     n.交通工具，车辆；工具；传播媒介
constant     adj.连续不断的；不变的，始终如一的
construction     n.建设，建立；结构，构造
total     adj.总的, 总计的, 全体的, 全部的; 彻底的, 完全的
contain     v.包含, 含有, 控制, 容纳
elsewhere     adv.在（或去、到）别处
chip     n.集成电路片，芯片；炸薯条，炸薯片；碎屑，碎片；缺口
lucky     adj.有好运的, 运气好的, 幸运的, 好运带来的
quality     n.质量, 品质, 上乘, 优质
employment     n.工作，职业；受雇；就业；雇用；使用；利用
suddenly     adv.突然, 忽然, 猛然, 骤然
visitor     n.游客, 访问者, 来访者, 参观者
shape     n.形状, 外形, 状况, 样子
vital     adj.必不可少的；重要的；生机勃勃的，充满生机的
bus     n.公共汽车, 巴士, （计算机系统的）总线
single     adj.单个的; 单身的; 单人（间）的; 单程（票）的；（特指）某个事物
neighborhood     n.附近, 地区, 街坊, 邻近
incident     n.发生的事情（尤指不寻常的或讨厌的）, 严重事件, （两国间的）摩擦
broad     adj.宽阔的， 广阔的；…宽（用于表示距离的量度之后）；广博的，丰富的；粗略的，概括的，一般的；口音重的
ordinary     adj.普通的, 平常的, 一般的, 平凡的
shock     n.休克, 震惊, 惊愕, 令人震惊的事
enter     v.进入, 进去, 加入, 进来
index     n.索引；指数
entry     n.进入；加入，参加；门，入口；项目，条目；参赛作品，参赛
range     n.〔数、量、年龄等的〕范围，界限；一系列；山脉；区间；射程；视觉[听觉]范围；靶场
rent     v.出租, 租用, 租借, 将…租给
warn     v.警告, 告诫, 提醒注意（可能发生的事）, 使警惕
implement     v.实施，贯彻，执行； 使生效
escape     v.逃跑；摆脱，逃避；避免；幸免于难；被忽视；泄漏
tall     adj.高的, 高大的, 身高
inform     v.通知，告知；对…有影响
manager     n.经理, 经营者, 经纪人, （运动队的）主教练
profile     n.轮廓, 简介, 形象, 外形，侧面
busy     adj.忙碌的, 无暇的, 忙于（做某事）, 人来车往的
mom     n.妈妈
reaction     n.反应，反响；化学反应
outcome     n.结果；效果
teach     v.教, 教导, 教授, 教育
energy     n.能源, 能量, 精力, 活力
panel     n.(由选定人员组成的)专家咨询组; 陪审团; 嵌板, 镶板; 窗玻璃片; 仪表板, 控制板; (车身的)金属板; (衣服上的)镶条, 饰片
wear     v.穿, 戴, 佩戴, 留（发、须等）; (使)磨损，磨坏; 面露，面带(某种表情)
announce     v.宣布，公布
simply     adv.只是, 简单地, 简直, 不过
recent     adj.近来的, 新近的
unlike     prep.不像, 与…不同, （用于对比）与…不同, 非…的特征
mass     n.块, 团; (复数)群众, 民众; 主要部分, 主体; 大量; 质量; 体积, 大小
anybody     pron.任何人, 随便哪一个人
institution     n.(以宗教、教育等为目的的)协会, 机构; 制度, 惯例, 习俗; 大金融公司, 大金融机构; 建立; 制定
culture     n.文化, 栽培, 养殖, 培育
sink     v.（使）下沉；沉没；降低；挖，掘；把…埋入；使受挫，使陷入麻烦
insurance     n.保险
owner     n.主人, 物主, 所有权人
traffic     n.路上行驶的车辆, 交通, （沿固定路线的）航行, 运输, 交通量, 通信(量), 数据传输, 贸易量
maximum     adj.最高的，最大极限的
taste     n.味道, 滋味; 味觉; 少许, 一点儿; 感受, 体会, 体验; 兴趣, 爱好; 鉴赏力, 审美力
tend     v.倾向（于）；容易表现出（某种特性）；照料
package     n.包裹；一揽子提议
skill     n.技能, 技巧, 技术, 技艺
appropriate     adj.合适的；适当的，相称的
exhibition     n.展览，展览会
wide     adj.宽的, 宽阔的, …宽的, 宽度为…的
slide     v.(使)滑行, (使)滑动; (使)悄悄移动; 下滑; 滑落; 逐渐陷入; 逐渐恶化或退步
experiment     n.实验, 试验, 尝试, 实践
camp     n.营地, 兵营, 营帐, 度假营
investment     n.投资; 投资额; 投资物; 投资的财产; (时间、精力等的)投入
advice     n.建议, 意见, 忠告, 劝告
dead     adj.筋疲力尽, 麻木, 麻木不仁, 死的
ground     n.地面, 土, 土地, 土壤, 场地
excellent     adj.优秀的, 杰出的, 极好的, （用以表示愉快或赞同）好极了
smart     adj.聪明的；衣冠楚楚的, 衣着讲究的, 整洁而漂亮的, 光鲜的, 时髦的
gift     n.礼物, 天赋, 才能, 赠品
relax     v.放松, 休息, 松懈, 放心
item     n.一件商品（或物品）；项目，条款
guess     v.想, 猜测, 估计, 猜到
meter     n.米；仪表；[计量] 公尺；韵律
capable     adj.有能力的，足以胜任的
remind     v.提醒, 使想起
aspect     n.方面, 层面, 外观, 方位
ideal     adj.理想的，完美的；想象的；不切实际的
assess     v.评价, 评定; 估价, 估计
mile     n.英里, 很远的距离, 一英里赛跑
assist     v.协助, 帮助, 援助, 促进
assistant     n.助手，助理，副手
thousand     adj.千, 无数的
definition     n.定义；阐释；清晰度
miss     v.错过；思念，怀念；赶不上；未击中
demand     n.要求; 需要; 需求; 所需之物
familiar     adj.熟悉的，常见的，亲近的
catch     v.抓住, 捕捉, 捕获; 接住; 抓住; 赶上; 染上; 击中; 侵袭; 听清楚; 领会; 迷住
mix     v.融合, 配制, 交往, 调配
worth     adj.值…钱的；值得…的
resolve     v.决心, 决定;（使）分解, 溶解; 决议; 解决（问题、争端等）
somewhat     adv.有点, 稍微, 有几分
permanent     adj.永久的，持久的
son     n.儿子, 子孙, （年长者对年轻男子或男孩的爱称）孩子
farmer     n.农场主；农民，农夫
permit     v.允许，许可
writer     n.作家, 作者, 著者, 写…的人
assume     v.（无证据的）假设，假定；臆断；认为；呈现；具有（特定的性质、外表或程度）；承担（责任）；采取；就（职）
fish     n.(复数: fish, fishes) 鱼, 鱼肉
acquisition     n.(技能、习惯或品质的)习得, 培养; (一家公司对另一家公司的) 收购; 资产获得, 获得物
dominate     v.支配，统治，控制；俯视；占据优势
determine     v.（使）下决心，（使）做出决定；确定，查明
gate     n.闸门, 大门, 大门口, 登机门
challenge     n.挑战，考验； 挑战书；质询，质疑；异议
spare     adj.备用的；多余的，闲置的；简洁的
map     n.地图
yourself     pron.你, 你自己, 您, 您自己
youth     n.青春，年轻，朝气；年轻人
piece     n.块, 片, 条, 段, 枪支
speech     n.讲话, 演说, 发言, 口语
heart     n.心，心脏；内心；爱心；核心，要点；中心；中央
authority     n.当局; 当权者(或机构); 专家; (学术)权威; 行政管理机构, 管辖权; (授予的)权, 权力; 威信, 影响力; 说服力
murder     n.谋杀, 凶杀, 困难的事, 讨厌的事
tour     n.旅游, 旅行, 参观, 游览
split     v.劈开; 切开; 撕裂; 分担; 分得; 使分裂; 使不团结; [化]分解; [核]使产生核裂变
ourselves     pron.亲自, （we 的反身形式）我们自己
sport     n.体育运动, 芽变, 消遣, （某项）体育运动
tradition     n.传统, 传统的信仰（或风俗）
lake     n.湖, 湖泊
national     adj.国家的, 民族的, 全国的, 国有的
finish     v.完成, 做好, （使）结束, 吃完
accompany     v.陪伴，伴随；给……伴奏
bind     v.绑；使结合；约束；装订
transport     n.运输，运输工具
roof     n.屋顶, 车顶, 顶部, 有…顶的
display     v.展示；显示，表现
fix     v.使固定, 修理, 确定, 安排, 安装
star     n.恒星, 星状物, 星形饰物, 星号
network     n.网络；系统
flight     n.飞行, 班机, 逃走, (尤指乘坐飞机的)旅行
popular     adj.受喜爱的, 受欢迎的, 当红的, 通俗的
wage     n.（通常指按周领的）工资
terrorist     n.恐怖主义者；恐怖分子
negotiation     n.谈判, 协商, 磋商
steal     v.偷，窃取；悄悄地移动
rush     v.（使）急速行进；仓促行事；猛攻；猛冲；急速流动，奔腾
management     n.管理，经营；经营者，管理部门；（成功的）处理手段
pursue     v.追赶; 追捕; 追求, 寻求; 达到(目标); 从事, 忙于; 继续调查, 探究, 讨论; 实行, 采取(行动路线); (人或路)沿着(小道、路线)前进, 延伸
smell     n.闻, 气味, 嗅觉, 臭味
borrow     v.借, 借用, 借入（款项）, （向…）借贷
leg     n.腿, 裤腿, （尤指供食用的）动物的腿, （桌椅等的）腿
powerful     adj.有权势的, 有影响力的, 强有力的, 力量大的
collect     v.收集, 搜集, 采集, 收藏
huge     adj.巨大的, 极多的, 程度高的, 非常成功的
negotiate     v.谈判，磋商；商定；达成（协议）；通过，越过（险要路段）
fairly     adv.公正地, 相当地, 一定地, 公平合理地
salary     n.薪金
score     n.得分, 成绩, 比分, 总谱, 伤痕, 二十
twice     adv.两倍, 两次, 两遍
northern     n.〈美〉北风, (自北而来的)暴风雨, 北方人
ice     n.冰, 冰块, 冰场, 溜冰场
liberal     adj.开明的; 不严格的, 自由的, 开放的; 自由主义的; 慷慨的; 人文的
ultimately     adv.最终, 最后, 归根结底, 终究
lie     v.撒谎; 躺, 平卧; 位于; 存在, 在于
stream     n.流, 溪, 小河, （液）流
street     n.街道, 大街, （尤指城市里）街头民意
illness     n.病, （某种）病, 患病期
remark     n.评论；注意；言辞
novel     adj.新颖的；与众不同的；珍奇的
benefit     n.益处, 优势, 成效, 福利费（政府对失业者、病人等提供的补助金）
witness     n.证人, 目击者, 见证人, 连署人
science     n.科学, 理科, 自然科学, 自然科学的学习与研究
private     adj.私有的, 私用的, 自用的, 为一部分人的
impossible     adj.不可能存在（或做到）的, 不可能的, 难处理的, 很难对付的
prize     n.奖, 奖品, 奖金, 奖赏
procedure     n.程序，步骤，手续
weather     n.天气, 气象, 气象预报
compare     v.比较, 对照; 把…比作; 相比; 比得上
bird     n.鸟, 禽；家伙；姑娘, 妞；羽毛球
unless     conj.除非, 若非, 除非在…情况下, 如果不
succeed     v.成功；继承，接替；继续；有作为
success     n.成功, 胜利, 发财, 成名, 成功的人（或事物）
secret     adj.秘密的, 机密的, 隐秘的, 神秘的
secretary     n.秘书, 大臣, 部长, （俱乐部、社团等的）干事
essential     adj.必要的； 基本的，本质的； 精华的
army     n.陆军部队, 大批, 陆上作战军队, （一国的）陆军；大批，大群
collection     n.收藏品，收集物；收集，采集；一群, 一批
arrival     n.到达, 抵达, 到达者, 抵达物
arrive     v.到达, 出现, 到…, 达到(结果)
load     v.装载，装填
proper     adj.合适的，适当的；正当的，合规矩的；完全的，彻底的
loan     v.借出，贷与
upon     prep.在…之上; 一…就; …又…; 即将发生
fun     n.乐趣, 快乐, 玩笑, 享乐
concept     n.概念, 观念, 设想, 观点
protection     n.保护, 保险, 防卫, 贸易保护
protest     v.反对，抗议
proud     adj.骄傲的, 自豪的, 得意的, 满足的
economy     n.经济, 节约, 经济制度, 节省
surface     n.表面，平面，外表；桌面；表象
gas     n.气体, 气体燃料, 煤气, 天然气
poll     n.民意测验，民意调查；投票数；得票
connection     n.连接; 连接物; 联系, 关联, 关系; 联结, 接通
boss     n.老板, 经理, 首领, 轮毂
surround     v.环绕, 包围, 围绕, 围住
generally     adv.一般地, 通常地; 普遍地, 广泛地
generate     v.产生；造成，引起
interview     n.面试；面谈，会谈；采访，访谈
conservative     adj.保守的，守旧的
undertake     v.着手做，从事，承担； 承诺；保证
box     n.箱, 盒, 方框, 匣
vast     adj.辽阔的, 巨大的, 庞大的, 大量的
electricity     n.电, 电能, 强烈的感情, 激动
loss     n.损失, 丢失, 亏损, 丧失
sweet     adj.含糖的, 甜的, 香的, 芳香的
achievement     n.成就, 成绩, 功绩, 完成
swim     v.游水, 游泳, 游动
swing     v.摇摆；旋转；动摇；绞死；行进
hot     adj.温度高的, 热的, 觉得闷（或燥、湿）热, 使人感到热的；辣的，辛辣的
arm     n.臂; 手臂; 扶手; 上肢; 杆臂; 大树枝; 职能部门; 权力; 得力助手; [复数]武器
bar     n.条, 杆, 棒, 棍; 酒吧; 吧台; 栅, 栏, 障碍(物); 律师职业
emphasis     n.强调；重视；重点；加重语气；重读
contribute     v.捐助；投稿；贡献；促使
village     n.村庄, 乡村, 村民, 村里的
bridge     n.桥, 桥梁; 桥牌; 舰桥; 鼻梁; 鼻梁架; 沟通的桥梁, 纽带
bright     adj.光线充足的, 明亮的, 鲜艳夺目的, 快活而生气勃勃的, 聪明的, 悟性强的, （未来）光明的, 有希望的
mail     n.邮件, 电子邮件, 信件, 邮政
owe     v.归功于, 欠（债）, 欠（账）, 欠（情）
sharp     adj.锋利的, 锐利的, 尖的, （变化）急剧的, （语言）尖刻的
afterward     adv.之后, 后来
quote     v.引述，引用；报价
aid     n.帮助, 助手, 工具, 手段
material     n.材料, 原料, 素材, 布料
distinguish     v.区分，辨别，分清；使出众，使著名；使有别于
organize     v.组织, 整理, 组建, 安排, 管理
art     n.艺术, 技术, 技巧, 表演艺术；“arts”表示人文学科
contact     n.接触, 联络, 交往, 接触器
glass     n.玻璃, 玻璃器皿, 玻璃制品, (复)眼镜, 透镜
soft     adj.软的, 柔软的, 硬度较低的, 较软的, 柔和的, 心软的
ought     auxv.应该, 本应, 总应该, 早应该
suit     n.套装；西装；西服；诉讼，诉讼案；请求
equipment     n.设备, 装备, 器材, 配备
suitable     adj.合适的；适宜的；适当的
sick     adj.生病的；想呕吐；恶心；厌烦的；厌恶的；变态的；病态的
initial     adj.开始的，最初的；字首的
reader     n.读者, 读本, 读书…的人, 阅读量大的人
critic     n.批评家，评论家
ready     adj.准备好的; 快要…的; 预先准备好的; 立即可得到的; 容易的; 方便的; 愿意的, 乐意的
disease     n.病, 疾病, 恶疾, 痼疾
significant     adj.重要的, 意义重大的; 意味深长的; 相当数量的; 显著的; 表示…的
fund     n.基金, 资金, 专款, 储备
similar     adj.类似的, 相像的, 相仿的
simple     adj.笨, 易于理解的, 易做的, 简单的
everyone     pron.人人, 所有人, 每人
goal     n.目标, 目的, 球门, 射门
pace     n.（移动的）步速；速度，节奏；一步，一步之距
television     n.电视, 电视机, 电视节目, 电视系统
match     n.火柴；对手；比赛, 竞赛；婚姻；相配的人（或物）
western     adj.西方的, 向西的, 西部的, 西方国家的
choice     n.选择, 抉择, 挑选, 选择权
apartment     n.公寓, 房间, 公寓楼, (有特殊用途或专属某人的)豪华寓所
whatever     adv.任何, 不管什么, 无所谓, 每一
intend     v.想要，打算，计划，企图
reference     n.参考; 查阅; 引文; 参考章节; 参考书; 提到, 论及; 推荐人; 推荐信; 关联
measure     v.测量, 度量, 估量
approach     v.（在距离或时间上）靠近，接近；接洽；建议；要求；（在数额、水平或质量上）接近；着手处理；对付
territory     n.领土，领地；（知识）领域，范围
grant     v.同意; 准予; 授予; 承认
regard     v.看待, 凝视, 将…认为, 把…视为
interpretation     n.解释, 说明, 阐明; 表演, 演奏; 口译; 诠释; 判读
gap     n.差距，隔阂；缺口，豁口，裂口
expand     v.扩大，增加（尺码，数量或重要性）；扩展，发展（业务）
medium     adj.适中的，中等的
wife     n.妻子, 太太, 老婆, 夫人
camera     n.摄像机, 照相机, 摄影机
relative     adj.相对的; 比较的; [语法]关系的, 由关系词引导的; (级别等)相当的, 对应的；关于…的
chemical     n.化学品, 化学制品
relevant     adj.相关的；适当的
invite     vt.邀请, 要求, 招致（尤指坏事）
expose     v.暴露；揭穿；使遭受（危险或不快）；使体验（观念、情感）；陈述；阐述
island     n.岛
wire     n.电线, 导线, 金属丝, 金属线
extend     v.延伸；伸出；凸出；持续；包括；涉及；延长；扩大；延长期限
smile     v.微笑, 微笑着说, 微笑地表示, 现出（某种）笑容
itself     pron.它自己, 它本身
guide     n.指南, 向导, 导游, 手册
depression     n.沮丧，消沉；抑郁症；（经济）萧条；洼地，浅坑
withdraw     v.撤回，取回，撤退
facility     n.设备，设施； 附加服务，附加功能；天赋；娴熟，灵巧
decrease     v.降低, 减少, 缩小, 减弱
basically     adv.基本上, 大体上, 〈口〉主要地
text     n.文本, 教科书, 文档, 剧本
defend     v.防卫，守卫；为……辩护
payment     n.支付，付款
wonderful     adj.精彩的, 绝妙的; 令人惊奇的, 令人惊叹的; 令人高兴的, 使人愉快的
representative     n.代表; 代理人; 代理商; 议员; 有代表性的事物, 典型事例
diet     n.日常饮食，规定饮食，节食
throw     v.扔, 抛, 丢, 投
mission     n.任务；代表团；使命
demonstrate     v.显示；演示；证明；示威
pension     n.养老金, 退休金, 抚恤金
department     n.部门, 系, 处, 司
ticket     n.票，券；彩票；商品标签；交通罚单；政党候选人名单
perfectly     adv.非常, 十分, 完美地, 完全地
original     adj.最初的；原版的；有独创性的
investigation     n.调查
restaurant     n.餐厅, 餐馆
address     n.地址, 住址; 网址; 演说, 讲话
photograph     n.照片, 相片
device     n.装置, 设备, 仪器；方法；计划, 阴谋；诡计；图画；设计
mostly     adv.通常, 主要地, 一般地
yesterday     adv.昨天, 近来
agenda     n.议事日程
mouse     n.鼠标, 老鼠, 耗子
soul     n.灵魂, 心灵, 人, 内心
tone     n.语气，口吻；音调，音色，音质；风格，基调，格调，气氛；色调
laughter     n.笑声
zone     n.地带, 分区, （尤指有别于周围的）区域
mechanism     n.机械装置，机件；方法，机制
touch     v.触摸, 接触, 碰, 触及, 触动, 感动
fifty     n.五十几, 五十年代
dinner     n.晚餐,宴会, 主餐
plane     n.平面, 飞机, 刨子, 境界
uniform     n.制服
enhance     v.提高；增强；增进
plate     n.盘子, 车牌, 金属牌, 护板, 板块
traditional     adj.传统的, 习俗的, 惯例的, 因袭的
spring     n.春天, 春季, 弹簧, 发条, 泉水, 跳, 跃
relation     n.关系，关联；亲属，亲戚
roll     v.滚动, 翻转, 摇晃, （使）原地转圈
hero     n.英雄, 男主角, 崇拜的对象
natural     adj.自然的, 天然的, 正常的, 意料之中的
basic     adj.基本的, 基础的, 最简单的, 初级的; 碱性的，含碱的
fire     n.火灾, 火力, 射击, 失火
participate     v.参加；参与
plus     prep.加, 和, 外加, 也
resolution     n.决心；解决；坚决；决议；分辨率
claim     v.声称，宣称；认领；索取；获得；需要
round     adj.圆的, 球形的, 肥胖的, 弧形的
dispute     n.争论；争吵
distribution     n.分布, 分配, 分发, 分销
lawyer     n.律师
lay     v.（尤指轻轻地或小心地）放置, 铺设（尤指在地板上）, 涂, 用一层…覆盖； 下(蛋)；产(卵)
distribute     v.分配，分发；配送；分散
trial     n. [法]审讯, 审判; 试验; 试用; 磨难, 考验; 尝试, 努力; [体]选拔赛
moreover     adv.此外, 而且
trip     n.旅游, 绊倒, 迷幻感受
poor     adj.贫穷的; 贫乏的, 缺少的; 拙劣的; 贫瘠的; 能力差的; 虚弱的; 不幸的; 谦卑的
floor     n.地板，地面；楼层；底价
news     n.新闻, 消息, 音信, 新闻人物
flower     n.花, 花朵, 开花植物, （已摘）带梗的花
abroad     adv.国外, 海外, 出国, 到国外, 在国外
steady     adj.稳定的，稳固的，沉稳的，可靠的；持续的，规则的
presentation     n.报告；〔新产品的〕介绍；〔观点的〕陈述，说明；呈现；表现；〔戏剧的〕演出；展示会，发布会；授予；外观，外貌
scientific     adj.科学（上）的, 关于科学的, 细致严谨的
club     n.俱乐部, 会, 社团, 夜总会，棍棒
act     n.行为, 行动；法令；一幕；假装的行为
active     adj.积极的；忙碌的；好动的，活跃的；主动的
stick     v.刺, 戳; 插入, 刺入; 粘贴; 钉住
actual     adj.真实的, 实际的, （强调事情最重要的部分）真正的
isolate     v.使隔离，使孤立
safe     adj.处境（或情况）安全, 不损害（或危害）健康的, 安全的
specifically     adv.具体来说, 明确地, 具体地, 特意
lesson     n.教训, 课程, 功课, 课堂
husband     n.丈夫
statement     n.声明，陈述
twelve     n.十二, 十二岁, 十二点钟, 十二个东西[人]
dear     n.仁慈的人, 可爱的人, （称呼所爱的人）亲爱的, 乖乖
twenty     n.二十几, 二十年代
afraid     adj.害怕的, 担心的, 担心（会发生某事）
commitment     n.承诺, 投入, 保证, 许诺；委托；献身
satisfy     v.使……满意，使……信服
straight     adv.笔直地; 平正地; 成直线; 直接; 连续地; 直率地
forest     n.森林, 林区, （森林似的）一丛
educational     adj.教育的, 有关教育的, 有教育意义的
unable     adj.无法, 没有所需技能（或力量、时间、知识等）, 未能
style     n.样式, 风格, 方式, 作风
alive     adj.活着的，有活力
online     adj.联机的, 在线的, 生产中
communication     n.传达; 传递; 传播; 通信, 通讯; 交流; 交际, 交往; 联系; 消息; 口信; 书信; 交通工具; 交通联系; [复] 通信系统
labor     n.劳动, 分娩, 工作, 人工
immediately     adv.立即, 马上, 即刻, 紧接
amount     n.数量, 金额, 数额
besides     adv.此外, 而且, 再说, 以及
participant     n.参与者；参加者
ancient     adj.古代的, 古老的, 很老的
anger     n.愤怒, 怒气, 生气, 怒火
link     v.联系, 把（物体、机器、地方等）连接起来, 相关联
favourite son     phrase.故乡骄子〔指受家乡人欢迎的政治家、运动员等〕
improvement     n.改进，改善
bill     n.法案, 账单, 喙, 海报
list     n.表；名单；倾斜
university     n.（综合性）大学, 高等学府
professor     n.教授, 教员
profit     n.利润，收益，盈利
output     n.（人、机器、机构的）产量, 输出, 输出功率, 输出量
section     n.部分，章节；区域，部门；路段；断面
component     n.组成部分；成分
premise     n.前提, 假定；经营场所; 办公场所; [复]房屋及土地
dynamic     adj.有活力的，精力充沛的；动态的，发展变化的
global     adj.全球的，全世界的；整体的，全面的
suggestion     n.建议, 暗示, 提议, 迹象
gene     n.基因, 遗传基因, 遗传因子
concentrate     v.专心于，全神贯注；集中，聚集
propose     v.计划；提议；求婚
officer     n.军官, 官员, 主任, 警官
okay     adj.同“O.K.”
attention     n.注意, 关注, 注意力, 关心
prove     v.证明, 证实, 展现, 显示（自己）是
prior     adj.（时间、顺序、重要性）在先的，在前的；先前的；更重要的
bond     n.联系，关系，（情感的）纽带；债券；结合
editor     n.编辑, 编辑程序, （书籍的）编辑, 剪接师
perception     n.知觉，感知；观念，看法；洞察力，认识能力
effective     adj.有效的；生效的
qualify     v.（使）合格，（使）有资格；获得学历；修饰，限定
serve     v.服务；提供；接待；任期为；为…工作，服役
boy     n.男孩, 小子, 伙计, 男青年
purpose     n.目的, 用途, 目标, 意图
consistent     adj.一致的；始终如一的；连续的；持续的；相符的；符合的；相互连贯的
acquire     v.获得, （通过努力、能力、行为表现）获得, 购得, 得到
lovely     adj.美丽的, 优美的, 有吸引力的, 迷人的, 可爱的
switch     v.调换, 交换; 调动, 调任; 改变, 转变; 用开关把…开启(或关掉)
settle     v.解决，结束(争端、纠纷)；确定，决定；定居；（使）平静，（使）安定；结算（账单）
emerge     v.出现；浮现，显露；(从某种状态)摆脱出来；(事实)显现出来；兴起
luck     n.运气, 幸运, 好运, 侥幸
victim     n.受害者；遇难者；牺牲品
emotional     adj.感情的, 情感的, 情绪的, 激起感情的
emphasize     v.强调, 重视, 着重, 使突出
breathe     v.呼吸, 透气, 呼出, 低声说
employer     n.雇主
onto     prep.（与动词连用，表示朝某处或某位置运动）向, 朝向
empty     adj.空的, 空洞的, 说话不算数的, 无诚意的
operation     n.手术；行动；活动；操作
pub     n.酒吧, 酒馆
debate     n.辩论, 争论
disappear     v.消失, 失踪, 离开, 绝迹
dramatic     adj.急剧的；激动人心的；戏剧性的
chief     adj.主要的；首席的
rank     n.排, 行, 列；系列；序列, 队形；社会地位；阶级；高级地位；等级, 品类
talent     n.人才, 才能, 天才, 天资
crash     n.〔汽车的〕撞车事故；〔飞机的〕坠毁，失事；突然发出的巨响；崩溃，死机；〔股票的〕狂跌，暴跌
error     n.错误, 差错, 谬误
male     adj.男性的, 雄性的, 男的, 阳的
manage     v.管理, 控制, 能对付, 完成（困难的事）, 勉力完成 
credit     n.信用; 赊欠; 信贷; 贷方; 信誉; 赞扬; 荣誉; 学分
tape     n.磁带，录音带，录像带；胶带；带子
task     n.工作, （尤指语言教学中旨在帮助达到某一学习目的的）活动
location     n.位置, 定位, 地点, 地方
taxi     n.出租车, 计程车
hang     v.悬挂；悬吊；绞死
eventually     adv. 终于，最后
crop     n.庄稼, 作物, 产量, 一批人
reasonable     adj.合理的；通情达理的；明智的，理智的
advertise     v.登广告；为…做广告，宣传
marriage     n.婚姻, 结婚, 婚礼, 婚姻生活
release     v.释放；发泄；发布，公布；出院
sing     v.演唱, 鸣, 啼, 唱（歌）
sensitive     adj.敏感的; 灵敏的; 脆弱的; 易受伤害的; 感光的; 敏锐的; 神经质的; 容易生气的; 善解人意的, 体恤的
wake     v.醒来, 唤醒, 弄醒, 唤起（记忆）
cup     n.杯子, 杯赛, 奖杯, 一杯（的量）
recover     v.恢复；重新获得；找回
toy     n.玩具, 玩物, 玩意儿
repertoire     n.（总称某人的）可表演项目, （某人的）全部才能
initiative     n.主动的行动; 倡议; 项目; 计划; 举措; 首创精神; 主动性; 积极性; 进取心; 主动权
size     n.大小, 号, 尺码, 浆料
tension     n.张力, 拉伸, 矛盾, 紧张局势（或关系、状况）
theater     n.剧场, 戏剧, 战场, 〈集合词〉(某一国,某一作家的)戏剧作品
secondly     adv.（用于列举）第二
store     n.商店, 店铺, 仓库, （大型）百货商店
meat     n.肉, （某种）食用肉, 重要的部分, 有趣的部分
danger     n.危险, 危害, 风险, 威胁
daughter     n.女儿, （某地、某国等的）妇女
expert     n.专家, 行家, 能手
voter     n.选举人
explanation     n.解释，说明
theory     n.理论, 原理, 学说, 原则
explore     v.探索, 探讨, 探究, 勘探
export     v.输出，出口
religious     adj.宗教的；虔诚的
contribution     n.贡献, 捐款, 捐赠, 稿件
wish     v.祝, 祝愿, 想要, 盼望
guest     n.客人, 宾客, 旅客, 特邀嘉宾
smoke     n.烟, 吸烟, 抽烟
snow     n.雪花, 【气】雪, 【气】(下了一段时间的)雪, 【信】雪花(效应)
remove     v.去除, 去掉; 移开; 搬移; 搬家; 脱下; 摘下; 消除, 取消; 开除,免职
habit     n.习惯, 习性, 惯常行为, （吸毒、喝酒、抽烟的）瘾
pause     v.暂停, 停顿, 暂停放像
repeat     v.重复, 复述, 重做, 重说
stable     adj.稳定的, 稳固的, 牢固的, 稳重的
assure     v.保证，确信，确保
