ant     n.蚂蚁
skeleton     n.骨架，骨骼；骨瘦如柴的人（或动物）；框架，提纲，概要
industrialize     v.（使国家或地区）工业化
equilibrium     n.平衡；均衡；均势；（心情、情绪）平静，安宁
complement     v.补充，补足，使完美；使更具吸引力
pathway     n.小道，小径；路线；道路；途径
infinite     adj.无限的，无穷无尽的；极大的
utterly     adv.完全地, 绝对地
persist     v.坚持；执意，执着；维持，持续
weaken     v.削弱, 减弱, 衰弱, 动摇
repay     v.偿还；清偿；酬报，报答
reproduction     n.复制品；复制；生殖，繁殖
consolidate     v.巩固，加强；联合，统一
incidence     n.发生率；发生范围；影响程度；入射（角）
discriminate     v.歧视, 区别, 区分, 辨别
induction     n.就职（仪式）；入门；归纳法；电磁感应；催产
wagon     n.（铁路）货车车厢, 四轮载重马车（或牛车）
overtime     n.加班, 加班费, 加时赛, 加班的时间
infinity     n.（时间，空间等）无限，无穷，[数]无穷大
syndrome     n.综合症状, 典型意见, 典型表现
presidency     n.总统（或主席）的职位, 总统（或主席）任期
calculator     n.计算器
instrumental     adj.起作用的, 有帮助的; 用乐器演奏的; 使用仪器的; 工具性的
mechanical     adj.机械的；力学的；呆板的
inequality     n.不平等, 不平衡, 不平均
parasite     n.寄生虫, 寄生物, 寄生植物, 依赖他人过活者
deliberate     adj.故意的, 存心的；从容不迫的；慎重的, 深思熟虑的
greenhouse     n.温室, 暖房
herbicide     n.除草剂, 除莠剂
irrigation     n.灌溉
deadly     adj.（可能）致命的, 极度的, 十足的, 彻底的
socially     adv.社会上, 交际上, 和睦地
intensify     v.加剧
candle     n.蜡烛
grid     n.网格, 格栅, 方格, （地图上的）坐标方格
canvas     n.帆布, 画布, 油画
symbolic     adj.使用象征的, 作为象征的, 象征性的
renewal     n.重新开始；恢复；有效期延长；改进；振兴
shrine     n.神庙，神龛；圣地
repetition     n.重复, 重做, 重说, 重做的事
wolf     n.狼
thrive     v.兴旺发达, 繁荣; 旺盛; 茁壮生长, 茂盛生长
stressful     adj.压力重的, 紧张的
tribal     adj.部落的, 部族的
disguise     v.假装，假扮；掩饰
seasonal     adj.季节性的, 随季节变化的, 节令性的, 适应节日需要的
arbitrary     adj.任意的；武断的, 随心所欲的；专横的；反复无常的
disagreement     n.不合，分歧；争论；不一致
juvenile     adj.少年的, 未成年的, 幼稚的, 不成熟的
substantive     adj.实质性的, 本质上的, 重大的, 严肃认真的
substrate     n.底物, 基底, 基层, 底层
sneeze     v.打喷嚏
displace     v.取代，替代；转移；迫使（某人）离开家园
worthwhile     adj.值得的, 值得做的, 重要的, 有价值的
diversify     v.(使)不同, (使)多样化; 增加…的品种; 从事多种经营
sodium     n.钠
workforce     n.劳动大军, 全体员工
