intervene     v.（为防止或改变某事件结果或过程）插入，插手，介入；干预，干涉
polar     adj.两极的；极地的；（性格、特点或倾向方面）截然相反的；（动物，植物）生活于极地地区的
economical     adj.经济的，合算的；节约的
excessive     adj.过多的，过分的
behavior     n.（动物或人对环境或刺激的）反应行为，习惯；行为，举止，待人接物的方式
prevail     vi.流行, 盛行; 获胜; 占优势, 占上风; 成功; 奏效
refreshment     n.小食，点心，饮料；恢复活力，焕发精神
deduct     vt.扣除，减去
disguise     v.伪装；掩饰，掩盖
imperative     n.重要紧急的事, 必要的事；命令, 规则；祈使语气, 祈使语气动词
exception     n.例外
prescription     n.处方，药方；开处方，开药方；诀窍，秘诀；权威推荐
decode     vt.解读（语言、非语言交流或图像）；译（码），解（码）
conceive     v.构思，设想；使受孕
justification     n.正当的理由，借口
tuck     vt.把（衬衫、餐巾等）的边塞到下面（或里面）；把…夹入，把…藏入
elementary     adj.基本的，初级的；简单的，容易的
disable     vt.丧失能力，伤残
metropolitan     adj.大都会的，大城市的；有大城市气派的
corps     n.（医务、通讯等兵种的）队，部队；（从事同类专业工作的）一组
industrial     adj.（与）工业（有关）的；以工业为特色的；工业高度发达的；工业用的
mobile     adj.可动的, 可移动的; 流动的; 多变的; 行动方便的
orchestra     n.管弦乐队
stump     n.树桩；残根，残余部分
ford     n.可涉水而过之处，浅滩
feminine     adj.（有关）妇女的，女性的；女子气的；娇美的，娇柔的；（词汇）阴性的
efficient     adj.（系统或机器）效率高的，高效的
exhibit     v.展览，展出；表现（某一品质，某种行为）；显示；显露；显出…的征兆（或症状）
famine     n.饥荒；严重的缺乏
pilgrim     n.朝圣者；香客
glitter     vi.闪闪发光，闪耀
terminate     v.结束；终止；到达终点站
overwhelming     adj.巨大的；压倒性多数的；无法抗拒的；（尤指感情）极其强烈的
climax     n.高潮，极点，顶点
engine     n.发动机，引擎；机车，火车头；工具，手段
insist     v.坚持，坚决要求；坚持说，断言；坚持做（某事）
imitative     adj.模仿的
bewilder     vt.（使）迷惑，（使）糊涂
underprivileged     adj.被剥夺基本权利的；贫困的，社会经济地位低下的；生活水平低下的人们的
commission     v.授权（或委托）（人，组织）做（或制造）
comparable     adj.（人，事物）可比作…的；相似的，类似的；相当的；比得上的，可相比的
option     n.选项；选择；选修课；选择自由，选择能力，选择权
inspection     n.检察，细看
owl     n.猫头鹰；机警的人；夜猫子
outwardly     adv.表面地，外面地
clerk     n.职员，档案管理员，管账员，办事员，店员；（议会、法院等的）书记员
concert     n.音乐会；演奏会；合作
energetic     adj.精力充沛的，充满活力的；积极的；需要剧烈活动的
stylish     adj.时髦的，入时的，漂亮的
mob     n.暴民，暴徒；一群；犯罪团伙
equality     n.相同；（尤指地位、权利的）平等，（机会）均等
duplicate     v.复制; 被复制; 复写; 复印; 重复; 使加倍; 使成双
contributor     n.捐献者，捐助者；促成因素
compliment     n.致意，问候；赞美，称赞
divert     v.使转向；使分心，转移（注意力）；供消遣；将（某人）从某物引开
migrant     n.（尤指为了工作或更好的环境而迁移的）移民；候鸟，迁移动物
repay     v.付还，偿还（贷款）；酬报，报答
vein     n.静脉；纹理，条纹；矿脉；矿层；风格，方式
mingle     v.（使）与…结合；使混合；使联结；相交往
power     n.力, 力量; 能力, 本领; 权力; 影响力; 强国, 大国; 动力; [数]幂; [物]功率
chase     v.追捕，追逐
gracious     adj.慈祥的；有礼貌的；亲切的；华美的；富裕闲适的
bureaucracy     n.官僚国家，官僚组织；官僚作风
recognition     n.认出，识别；承认；确认；认可；赏识；表彰；报偿
cylinder     n.圆柱体；圆筒状物；（发动机的）气缸
facet     n.（问题等的）一个方面；（多面体的）面
startle     v.惊吓；使吓一跳
role     n.作用；任务；职责；（演员扮演的）角色，社会角色
erupt     vi.（火山，喷泉等）喷发，（岩浆等）喷出；（战争，危机，问题等）爆发，突然发生
bacteria     n.细菌
imposing     adj.气势雄伟的，威严的，壮观的
standpoint     n.立场，观点，看法
indulge     v.沉迷于，沉湎于，沉醉于（欲望，兴趣）；沉溺于，肆意享受
referee     v.仲裁，裁判；审阅，鉴定
repel     v.使恐惧；使厌恶；击退，驱逐；排斥；相斥
provocative     adj.挑衅的；挑拨的，煽动的；挑逗的；激怒的，刺激的
mature     adj.明白事理的；（经济，行业，市场）成熟的；发育完全的
chant     n.反复有节奏的喊叫；赞美诗，圣歌
vocational     adj.职业的，业务的
contempt     n.轻视，轻蔑，蔑视
identically     adv.同一地，相等地
brilliant     adj.〈英，非正式〉极好的，非凡的；有才能的，聪明的
output     n.产量；输出，输出功率
likelihood     n.可能；可能性
golden     adj.金色的；（一段时期）幸福繁荣的
reference     n.参考，查阅；提及，谈到；查询；查询编号；推荐人；（前雇主证明求职者德才的）证明信，介绍信；引文；引证，引用资料
criterion     n.标准，准则
necessitate     vt.（使）成为必要，需要
dart     n.飞镖，飞镖游戏；急驰，飞奔
bribe     n.贿赂；贿赂物
glamour     n.魅力，诱惑力
immediate     adj.立即的，即刻的，即时的；（关系，行动）直接的；（时间）最近的，（关系）最亲的，（地位）最接近的
electric     adj.电的；电动的；充电的；能发电的；令人激动的
waxy     adj.光滑的；苍白的
relieve     v.缓解，减轻，解除；使放心，使宽慰，使欣慰；使解脱
society     n.社会；社群；团体；学会，协会；交往；上流社会
uphold     v.支持，维护，维持
progressive     adj.进步的，先进的；逐步的
multiply     v.乘；（使）大量增加；繁殖
complain     vi.抱怨，发牢骚，诉苦；投诉；控告
crowd     n.（多指混乱的）人群，群；（有共同兴趣或活动的）一伙人；一帮人；群众；大众；老百姓
thereafter     adv.之后，以后
certify     vt.正式证明（某人，某物）具有某种资格（或达到某标准）；发证书（或执照）给
carve     v.雕刻，刻（硬材料）；切（熟肉）
security     n.安全；无威胁状态；安全感；担保, 保证；有价证券
plaster     n.灰浆，灰泥；石膏；橡皮膏，膏药
spine     n.脊柱，脊椎；（动、植物的）刺，刺毛；书脊
contradiction     n.矛盾；对立；抵触
soar     vi.剧增，猛增；高飞；翱翔；（情绪、期望等）高涨；高耸，屹立
budget     n.（为某目的而拨的）款项，专款；国家预算；预算（案）
logical     adj.符合逻辑的，逻辑上的
treasure     n.珍品，宝物，财富
pasture     v.放牧; 吃草
trait     n.（尤指人的）特征，特点；遗传特征
lens     n.透镜，镜片
defy     vt.反抗，藐视，挑衅；经受住，抗住
rebel     n.反叛分子，造反者，叛逆者，起义者
mutual     adj.（感情，行动）相互的，彼此的；共同的
obedient     adj.服从的，顺从的
schedule     n.日程安排（表）；工作计划，计划（表），进度表
reaction     n.反应，反响；化学反应；（人对外部刺激的）反应力
sympathy     n.同情；同感，意气相投；赞同，支持
bug     n.小虫，臭虫；故障；程序漏洞；窃听器
empirically     adv.以经验为主地
fatigue     n.极度疲劳，疲乏，劳累；（肌肉或器官的）疲劳；劳损；（因接触过多导致的）反应迟钝，热情减退
void     adj.无效的；缺乏…的，没有…的；空的，空空如也
enthusiasm     n.热情，热心，热忱；巨大兴趣
minimal     adj.最小的；尽可能少的；最低限度的；可略而不计的
salvation     n.拯救，解救；解救措施
decrease     v.减少，减小，减弱，降低
humanity     n.［总称］人；人类；人文学科（尤指文学、历史、艺术、音乐和哲学）；人性
quota     n.（人或团体的）分得的部分，配额；定量；定额，限额；指标
hierarchy     n.等级制度，分等级的组织
barricade     n.路障，栅栏；障碍
bull     n.公牛; 胡说八道, 废话; 雄兽; 彪形大汉, 粗汉; 靶心; [术语]多头; 股市看涨的人
recycle     vt.回收利用（废品）；使再循环
elapse     v.（时间）流逝
extinct     adj.不复存在的；绝种的
stamp     n.邮票, 戳, 印花, 章, 踩踏, 痕迹, 标志
paragraph     n.段落；节
obscure     adj.无名的，鲜为人知的；难以理解的
compulsory     adj.必须做的；规定的；义务的
rating     n.等级，品级，评定结果；[pl.]（电视节目的）收视率，（广播节目的）收听率
slash     vt.（尤指用刀或剑）砍，砍击（某物）；【非正式】大幅度削减（价格、数量等）
inevitable     adj.必然发生的；不可避免的
clutch     v.紧抓, 紧握；急忙地抓, 突然抢走
exclaim     vi.呼喊，惊叫
sponge     n.海绵
competence     n.能力；胜任，称职；【语言学】语言能力
intrigue     n.阴谋，诡计，密谋 v. 激起…的好奇心（或兴趣），迷住；耍阴谋，施诡计
spectacle     n.精彩表演; 壮观景象; 出人意料的情况; (复数)眼镜
vehicle     n.交通工具，车辆；工具，手段，方法，载体
random     adj.【统计】随机的，随意的；胡乱的，无一定之规的；任意的；任意选取的
infinite     adj.大量的；极度的；无限的，无穷的；无边的；无法计量（或计算）的，无数的
capacity     n.能力，才能；理解能力；身份，角色，职位；生产量，生产力；容量
recover     v.恢复（健康，精神，体力）；找回，重获（丢失物）；赚回，取得（补偿）
mild     adj.轻微的；不严重的；温和的；和善的；和煦的
succeed     v.成功，达到预期目标；取得预期结果；赢得，获得；继承，接替；继续
ballet     n.芭蕾舞；芭蕾舞剧
concise     adj.简明的，简要的
deplore     v.悲悼，哀叹；谴责
symphony     n.交响乐；交响曲
embryo     n.胚，胚胎；事物的萌芽期
patrol     n.巡逻，巡查；巡逻队
enthusiastic     adj.热情的，热心的
prejudice     n.偏见；歧视，反感；损害，侵害
consistent     adj.（性质、标准或效果上）不变的，始终如一的；一致的，符合的；和谐的，协调的
foam     n.泡沫，泡沫剂；海绵橡胶
hatred     n.憎恶，憎恨，仇恨
collect     v.积聚；收藏；采集；存储；聚集；使集中；收款
tilt     v.（使）倾斜，倾侧
identify     v.把（自己）认同于；将（自己）归为（某个类别或人群）；认出，辨别出（尤指值得注意的事物）；指认
breach     n.破坏，违反；（关系的）破裂，不和；缺口，裂口
inventory     n.存货，库存
transfer     v.转移；调动，改行；转让（财产，权利）；移交（责任）；转变（词义等）
stream     n.河，溪流；一股，一串
deceptive     adj.骗人的，造成假象的；靠不住的
enforce     v.实施，执行；强迫，迫使
clasp     n.搭扣，扣环；紧握，紧抱
code     n.密码，代码；法典；法规；章程；编号；标记；行为准则；行为规范；【计算机】程序指令
hasty     adj.草率的，轻率的；急速的，匆忙的，仓促完成的
substantial     adj.大量的；相当程度的；实质的；基本上的，大体上的；很重要的；很有价值的
figure     n.人物（尤指显要人物）；（人、动物的）画像；塑像；（尤指作为官方统计资料的或有关公司财务业绩的）数字；图形；身材，体形
minute     n.（时间单位）分；一会儿；刹那；备忘录，（会议）记录；驾车（或步行）一分钟的路程；刻，时
isolate     v.使隔离，使孤立；（化，生）使离析；使分离
missionary     n.传教士
designate     v.指定，选派；标明，指明
penalty     n.（行为、情况带来的）不利后果；劣势；苦难；处罚，判罚，刑罚；罚金；害处；点球
intuition     n.直觉，直觉能力
cafeteria     n.自助餐馆，自助食堂
formulate     vt.制订；规划；系统地（或确切地）阐述
gasp     vi.喘气，喘息；倒抽气；喘着气说出（或发出）
dean     n.（大学）教务长，系主任，院长，医学院院长
instability     n.不安定，不稳定；（精神的）变化无常
display     v.陈列；展示；显示；显露
chapel     n.（学校、医院等处的）小教堂，祈祷室
chunk     n.厚片，大块；相当大的部分（或数量）
goal     n.（人进取或努力的）目标；目的；期望的结果；进球（尤指得分）
ventilate     v.通风；使通气；公开表达
fort     n.要塞；堡垒；兵营，军营
henceforth     adv.从今以后，从此以后
shear     v.剪切, 切断, 给（羊）剪（羊毛）, 剪（头发）
recall     v.记得；回想起，回忆起；回索，检索，调用（计算机储存的数据）
masterpiece     n.杰作
vigorous     adj.用力的；体力的；充满活力的；强壮的；健康的；精力旺盛的
tempo     n.（音乐的）速度；节奏，行进速度
permanence     n.永久，持久
leather     n.皮革，皮革制品
spring     n.春天，春季；跳跃；泉；弹簧，发条
graphics     n.文字，绘图
impose     v.把…强加（于）；要求履行（义务），要求付（费），要求接受（惩罚）；征税；施加影响
comply     v.依从，顺从；遵从；服从
engagement     n.保证; 约会; 参与; 订婚; 婚约; 受雇, 受聘; 交战, 战斗; 啮合
eligible     adj.有资格的；合格的，符合条件的；（尤指婚姻等）合适的，合意的
overthrow     n.推翻；打倒
convert     v.转变（形态、性质、功能）；改变；（使）改变信仰
discount     vt.把…打折扣；对（可能性，事实）不全信，对…不予考虑
elevate     v.提升，提高；提高...的水平；举起，抬起；提拔，晋升；使精神振奋
setback     n.挫折，倒退，失败
caution     v.警告，提醒，告诫
response     n.（对测验、问卷等）回答，答复；反应
devote     v.将（时间，精力）用于（人，活动）上；献身，奉献
verge     n.边缘；极限，临界点；即将，将近
imaginary     adj.想象中的，假想的，虚构的，幻想的
electronic     adj.（装置）电子的；电子计算机（或其他电子装置）的；用电子计算机（或其他电子装置）实现的
orthodox     adj.传统的；正统的，正宗的
weapon     n.武器，兵器
manifestation     n.显示, 表明, 表现；显灵；示威运动
scorn     n.轻蔑，鄙视
sour     v.使变酸，使变馊；使变得乖戾（或暴躁） adj. 酸的；馊的，酸味的；脾气坏的
patriot     n.爱国者
lash     v.（用绳索等）将（物品）系牢；鞭打，抽打，（风、雨等）猛烈打击；猛烈抨击，严厉斥责
film     n.电影，影片；电影艺术；电影业；胶片，胶卷；（覆盖在表面上的）薄薄的一层，膜
share     v.与…分享；共同使用；共同居住；共享；与…共有（观点，品质）；（在社交网站或应用上）发表；转发；分担, 分摊；向…倾诉（尤指隐私）
persistent     adj.持续的，持久的；坚持不懈的，执意的
cork     n.软木；软木塞
background     n.（学历、经历等）个人背景；底色， 幕后， 经历
dramatically     adv.戏剧性地；显著地，突出地
indefinite     adj.无限的，无限期的；模糊的；不明确的
hostile     adj.怀敌意的，敌对的
immerse     v.【喻】投入，陷入，沉浸于（活动）
literacy     n.识字，有读写能力；（特定领域的）能力（或知识、技能）
fracture     v.（使）断裂，折断，破裂；分裂
theme     n.题目，主题；（文艺作品的）主题（思想）
imitate     vt.模仿，仿效；仿制
locality     n.地区，位置，地点，发生地
bang     v.猛撞；发出砰的一声，砰砰地响；砰地敲（或推、扔）
bust     v.打破，打碎；爆裂，坏掉
dubious     adj.怀疑的；犹豫不决的，无把握的；有问题的，靠不住的
displace     v.取代，替代；转移；迫使（某人）离开家园
irony     n.反话，冷嘲；具有讽刺意味的事；出乎意料的事情（或结果）；令人啼笑皆非的局面
brand     n.（独特的）一种，一类；独特的个性；自成一格的形象；品牌；同一牌子的商品
confinement     n.限制，禁闭
evidence     n.根据；证明；迹象；痕迹
downplay     vt.对…轻描淡写；贬低，低估
desirable     adj.合意的，理想的，可取的
contend     v.声称；主张；辩论；争夺；竞争
flaw     n.（物质或物件的）瑕疵，缺陷，毛病；（人性格中的）毛病，缺陷
limitation     n.限制性规定；限定；缺陷，弱点；【律】追诉时效；［常pl.］局限
visualize     vt.想象，设想
interaction     n.交流；直接接触；互相往来；相互作用；相互影响，互动（性）
confidence     n.信任，信赖；信心，把握；自信； 秘密
border     n.【喻】边，分界线；边境，边界；国界
pumpkin     n.南瓜
conversion     n.转变，变换；换算；改变信仰，皈依
dominate     v.支配，统治，控制；俯视；占据优势
fringe     n.外围；刘海儿；流苏
contemplate     vt.思考；考虑；对…周密考虑；盘算，预期；注视，凝视
bounce     v.（光，声音或电子信号接触物体后）反弹，反射
creation     n.创造；创作；创建；（尤指显示艺术才能的）创造物；（创作的）作品
cautious     adj.小心的，谨慎的
criticism     n.批评；批判；指责；评论；评价
plant     n.植物；工厂；车间；设备； 发电厂
persist     v.持续；延续；坚持；执意，执着
commonwealth     n.共和国，联邦
graphic     adj.详细生动的；绘画的，图表的
cardinal     adj.最重要的, 基本的, 鲜红的
community     n.社会；社区；社工；社区（或社会）服务；同住一地区（或有共同特征）的一群人；（动植物的）群落
paradox     n.似非而是的说法；似矛盾而（可能）正确的论点；自相矛盾的人（或事物）；引出自相矛盾的结论的论点
bar     n.条, 杆, 棒, 棍; 酒吧; 吧台; 栅, 栏, 障碍(物); 律师职业
tuition     n.（尤指大专院校或私立学校的）学费；讲授；教学；指导
groan     vi.发出呻吟般的声音
diplomat     n.外交官，外交家；有交际手腕的人，圆滑的人
detail     n.细节；细枝末节，次要部分；详细情况；个人资料
sturdy     adj.结实的，坚固的；强壮的；健壮的；坚决的，顽强的
mammal     n.哺乳动物
initiative     n.主动性，积极性；对策；新举措；计划；先机
crash     n.（多指车辆与车辆或物）猛撞，碰撞；巨大声响；（飞机的）坠毁；（某物价值或价格的）暴跌；狂跌
ultraviolet     adj.紫外线的；利用紫外线的
juggle     v.（用球等）玩杂耍；篡改（数字等）以图掩盖；力图使平衡，尽力应付
degree     n.学位；程度；度；度数（温度单位）
booklet     n.小册子
questionnaire     n.调查表；问卷
primary     adj.首要的，主要的；最初的；原本的；第一手的, 直接的；初级的, 小学的；初等的
recovery     n.恢复，康复，痊愈；回收利用（能源、化工品等）
vertical     adj.垂直的；竖的
stumble     vi.绊脚，绊倒；跌跌撞撞地走；（说话）结结巴巴；无意中发现；犯错
notable     adj.值得注意的；显著的；重要的
jeopardize     vt.危及，危害
criminal     adj.犯罪（性质）的，犯法的；【律】刑事的
mere     adj.只不过，仅仅（用于强调小或微不足道）
legacy     n.遗赠的财物，遗产
loyal     adj.忠诚的，忠心的
peg     n.小钉，栓，挂物钉；桩
couch     n.长沙发; 长椅
spotlight     n.（舞台的）聚光灯，公众注意的中心
endurance     n.忍耐力；耐久力
spoil     v.损害；破坏；毁坏；糟蹋；悉心照料；娇纵，百般照顾；（使）腐坏
rein     n.缰绳
stun     vt.使震惊，使目瞪口呆；把…打昏，使昏迷
intimidate     vt.恐吓，威胁
kidney     n.肾，肾脏
slogan     n.（与政党、运动或团体有关的）标语；口号；简短醒目的广告语；难忘的广告语
condense     vt.（使）冷凝，使凝结；浓缩；压缩，简缩
infection     n.传染病；传染，传播，感染
formidable     adj.可怕的；令人敬畏的；难对付的
jury     n.陪审团，评奖团
unify     vt.使联合，统一；使相同，使一致
insanity     n.精神错乱，疯狂
overt     adj.公开的，不隐蔽的
exceed     v.（在数量或大小上）超过；超越；超出（限定）
threaten     v.恐吓，恫吓；对…构成威胁，使…有危险；似将发生
intermittent     adj.间歇的，断断续续的
radical     adj.（尤指变化或行动）根本的；意义深远的，彻底的；反传统的；创新的，革新的；非正统的；过激的；激进的，激进派的
midst     n.【古】中央；中部；中间；当中
fury     n.狂怒，暴怒，大发雷霆
racial     adj.人种的，种族的；民族的；种族差异引起的，与种族差异有关的
nourish     v.抚养，滋养；培养，助长
mine     pron.我的所有，属我之物；与我有关之物
badly     adv.很， 非常， 差； 严重地；糟糕地；拙劣地
theft     n.偷窃；盗窃罪
instructive     adj.有益的，教育性的
liable     adj.有义务的，（应）负有法律责任的；可能遭受；有…倾向的
intent     n.意图，意向；目的
converse     n.相反的事物，反面说法
oriental     adj.东方的，东方人的，东方文化的
module     n.单元（课程的一部分）；模块，功能块；组件
humble     adj.谦逊的；地位低下的；简陋的
outrage     n.义愤，愤慨；暴行，骇人听闻的事件
firm     adj.结实的，坚固的；坚信的；坚定的
twinkle     v.闪烁，闪亮
restraint     n.控制，限制；（尤指艺术表达中的）低调处理，克制；约束措施，约束条件
distinguish     v.识别；区分；感觉到差别；指出差别；使区别于他物
chief     adj.（官位，职权）首席的，主任的；主要的，首要的
mask     n.面具，面罩，口罩；伪装
reconcile     v.使共存；使和谐一致，调和；使一致，使符合；将就，妥协
implement     vt.贯彻，实行，履行（决定、计划、协议等）
dentist     n.牙医；牙科诊所
exile     n.流放；放逐；流亡；流亡国外者
messenger     n.信使；报信者；信差；通信员；【生化】（体内传递信息和刺激的）信使
shuttle     n.（定时往返的）班车；航天飞机（space shuttle的简称）；梭子
muddy     adj.泥泞的，沾满烂泥的；（光、色泽）灰暗的，暗淡的；模糊的，糊涂的
vegetation     n.植物，草木；植被
compile     v.汇编；编辑，编纂
yield     v.生产；产出，提供；带来；放弃；让位；让路；（使）屈服；（使）投降
dreadful     adj.可怕的，令人痛苦的；极其糟糕的；极其严重的
pastry     n.油酥面团，酥皮糕点
wage     n.工资，工钱（尤指日薪或周薪）
minimize     v.使…减少到最小；贬低，使显得不重要
combustion     n.燃烧
hop     v.单脚跳，跳跃；【非正式】跳上（开动的车辆）
formula     n.公式；方案；配方（愚蠢或盲目遵守的）常规，惯例；老一套
pose     vt.提出（问题或考虑对象）；形成，构成（问题，危险）；摆姿势；佯装，假扮；招摇，炫耀
betrayal     n.背叛
witness     n.证据；目击者，证人
resistant     adj.抵抗的，反抗的；有抵抗力的；不受…损害的
hospitality     n.好客，殷勤；（款待客人的）食物、饮料、服务等
neatly     adv.有序地, 整齐地; 熟练地
element     n.成分；（抽象事物的）基本组成部分，要素；（化学）元素；基础，纲要；（强风、暴雨等恶劣）天气
denounce     v.谴责，公开指责；告发
entrepreneur     n.企业家
thigh     n.大腿
monopoly     n.垄断，专卖；垄断物，垄断商品；垄断企业；垄断集团
initiate     v.开始（过程，行动）；发起，创始
submarine     n.潜水艇
conservative     adj.反对改革的；保守的，守旧的；传统的；（政治上）持右倾观点的
legitimate     adj.合乎逻辑的，正当的；法律认可的
restore     v.修复（建筑物、艺术品等）；使恢复原样；使复位；使复职；恢复（权利，做法，情况）；归还
flutter     v.（使）飘动，颤动；振翅，鼓翼
consult     v.（尤指采取行动前）和…商量，和…商议；请教，求教；向（专家）咨询
impulse     n.冲动，心血来潮；脉冲；刺激；推动力，冲力
install     v.安装，设置（设备，机器）
slump     vi.猛跌，大幅度下降；惨败；突然倒下
statesman     n.政治家
rigor     n.〈美〉同“rigour”，严格, 严厉; 艰辛, 严酷; 严密，严谨
impartial     adj.公平的；中立的，不偏不倚的
bother     v.（环境，事件）使焦虑，使烦恼；麻烦；烦心；尽力
incur     vt.招致，遭受，引起
Catholic     n.天主教徒
definition     n.定义；确切描述，明确描述；清晰度
menace     n.威胁；危险的人（或物）；令人恐怖的氛围
exempt     adj.被免除（义务，责任等）的，被豁免的
chip     n.集成电路片，芯片；炸薯条，炸薯片；碎屑，碎片；缺口
cabinet     n.橱，柜；内阁
partnership     n.合伙（关系），合伙经营（的企业），合伙人身份
minibus     n.小型公共汽车
molecule     n.分子
liner     n.班机；定期列车； 远洋客轮；衬里；衬垫； 眼线笔； 眼线膏
rough     adj.粗糙的，不平滑的，高低不平的；初步的；粗率的；不确切的，粗略的；大致的
interim     adj.暂时的，临时的
respond     v.作答，回答；（人）作出反应；对（刺激）作出快速反应；对（治疗）有积极反应；应对
petty     adj.琐碎的，微不足道的；小气的
nominate     vt.提名；指派，指定
cable     n.缆绳，钢索；电缆；电报；有线传输系统
revolutionary     adj.革命性剧变的，大变革的；突破性的
compatible     adj.（两件事物）可和谐共存的；相容的；协调的；兼容的
reconciliation     n.和解，调和
define     v.下定义；确切说明（或解释）；树立，表明
corresponding     adj.相应的，由此引起的
interruption     n.打断；插话；中断时间
irritation     n.愤怒，急躁，刺激
bandage     n.绷带
barrier     n.【喻】障碍；隔阂；栅栏；检票口；屏障
trolley     n.手推车；台车; <美>有轨电车=<英>tram；<英>无轨电车
offset     v.抵消；弥补；补偿
refer     v.（词，短语，标志）指，表示；查阅，参考；提到，谈到
subjective     adj.主观（上）的，个人的
vital     adj.充满活力的，活泼的；必不可少的，必要的
resume     v.重新开始; 继续; 恢复; 重返; 重新得到; 重新使用; 取回, 收回; 接着说
illegal     adj.非法的，不合法的（尤指违背刑法的）
consecutive     adj.连续的，不断的；接连而来的
provided     conj.假如，若是
ethnic     adj.（与）种族（有关）的；（与）民族（有关）的
pertinent     adj.相关的，切题的；中肯的；恰当的
mute     adj.（人）哑的，沉默的；（活动）无声的
resign     v.辞职；辞去，放弃；使顺从
revenue     n.（国家）岁入，税收；（尤指公司或组织数额庞大的）收入，收益
underlying     adj.潜在的，暗含的，深层的
concentration     n.集中；集结；浓度；专心
sociable     adj.好交际的，友好的，合群的
previous     adj.以前的，先前的；上一次的
swamp     n.沼泽
irrigation     n.（尤指利用沟渠）灌溉
dispose     v.丢掉；处理；应付，解决；使倾向于
offense     n.犯规；违法行为；冒犯，得罪
controversy     n.（公开的）争论，争议
tissue     n.(人、动植物细胞的)组织; 纸巾; 绵纸
eliminate     v.消除，根除，排除，剔除
pudding     n.布丁
dealer     n.交易商，贸易商；毒品贩子
bracket     n.括号；同等级的人（或事）；托架
excess     n.过量；过多；过度；超过部分；超过的量；无节制；（尤指吃喝）无度
excel     v.擅长，善于；出色，突出
fuse     v.结合，融合；（使）熔化
bronze     n.青铜；青铜色，青铜制品
circus     n.马戏团；马戏表演；引人注意的事物；热闹场面；圆形广场；竞技场
multicultural     adj.多种文化的
vary     v.（使）改变，使多样化；变化；不同，有差异
silicon     n.硅
ruin     vt.毁坏；毁损；糟蹋；使遭到无可挽回的损害；对…有灾难性的影响
susceptible     adj.易受影响的；易受伤害的；过敏的；能经受的，容许的
fantastic     adj.【非正式】了不起的，极出色的，极好的；很大的；大得难以置信的
pore     n.毛孔；气孔；小孔
merciful     adj.宽大的；仁慈的；慈悲的
immune     adj.免疫的; 有免疫力的; 免除的, 豁免的; 可防止的; 不受影响的
enrich     vt.使（某人）富裕（或更富裕）；使富足，使肥沃；改善…的质量（或价值），丰富；添加元素
highlight     vt.强调，突出，使显著
literary     adj.文学的，与文学相关的
spontaneous     adj.自发的，自然产生的，无意识的
esthetic     adj.美学的，审美的；悦目的，雅致的
intelligent     adj.（设备、建筑物）智能的；有智力的，有才智的（尤指才智高的）
luggage     n.行李
fertilizer     n.肥料; 促进发展者
content     adj.愿接受的；心满意足的
stern     adj.严厉的; 苛刻的; 严峻的; 坚定的, 不动摇的
thorn     n.刺，荆棘；带刺小灌木
iceberg     n.冰山
imitation     n.模仿，效仿；赝品，仿品
solitary     adj.单独的，独自的；单个的，唯一的；孤独的，隐居的
negative     adj.坏的，有害的；（人，态度，情形）消极的；负面的；不受欢迎的；否定的；负极的，阴性的；小于零的
cater     v.迎合，设法满足（需要，要求）
intercity     adj.城市间的；来往于城市间的
stationary     adj.固定的，静止不动的
notwithstanding     prep.虽然；尽管
suite     n.（旅馆的）套间；一套家具；（同类物的）套，组，系列；【计算机】（软件的）套件
grip     v.紧握; 紧抓; 咬住; 夹牢; 吸引住; 有吸引力
pact     n.契约，协定，条约
construct     v.建筑；建造；建立；构筑（某物）；组成；构成；形成（观念，理论）
dome     n.穹顶，圆屋顶；穹状物
blossom     n.（尤指果树的）花
specialty     n.特产，名产；特色菜；专业，专长
stroke     n.中风；（疾病）突然发作；轻抚；敲，响；（事件的）一次，一回；笔划；扑打；冲程；闪击；划桨；尾桨手，领桨；击（球）
feasible     adj.可行的，行得通的；合理的；可用的，适宜的；容易办得到的
expend     vt.花费，消费；消耗
serial     adj.连续的，顺序排列的
practicable     adj.能实行的，可行的
subsidy     n.财政补贴，津贴
investigate     v.调查；核查，检查（为发现某种情况）；深入研究（多指科学或学术领域）
routine     n.常规，惯例；固定程序；例行公事；日常工作
suppress     v.阻碍发展；禁止活动；抑制，忍住；镇压；查禁，封锁
signify     v.指示；表示；表明；意味着；表达；要紧
productive     adj.富有生产力的；多产的；富饶的；肥沃的；富有成效的
gravitation     n.万有引力，重力；下沉，下降；受吸引
durability     n.经久，耐久力
nickname     n.绰号，诨名
prolong     v.延长，拖长
lace     n.饰带，花边，缎带
chorus     n.齐声，异口同声；合唱团；副歌；朗诵演员
impart     v.告知，传达；传授；赋予
fellowship     n.（学术或专业团体的）会员资格；伙伴关系，友谊，交情；团体，协会，联谊会；奖学金
stroll     n.散步；溜达；闲逛
cute     adj.漂亮的，可爱的；聪明伶俐的
flank     n.侧面；（动物的）胁腹
disaster     n.不幸事件；不幸；灾难，大祸（如事故或自然灾害）
institution     n.（以宗教、教育、专业、社交等为目的的）协会，机构；习俗，制度；建立
inspirational     adj.有灵感的，给予灵感的
grim     adj.使人沮丧的；令人担忧的；无情的，严酷的，严苛的
locomotive     n.机车；火车头
procedure     n.程序，步骤，手续；外科手术
junction     n.联接，会合处，交叉点
stride     v.大步走；阔步行走
bibliography     n.（学术著作的）参考文献目录
explicitly     adv.明确地，明白地
