cart n.手推车, （两轮或四轮）运货马车, 手拉车
organize v.把…组织起来；使有条理，安排
thorough adj.彻底的，完全的；全面的；十足的（尤指不受欢迎或令人讨厌的程度）
conquer vt.战胜，破除，克服（问题，弱点）
customary adj.习俗的，习惯的；特有的，独特的
military adj.军人的；军事的；武装部队的
leap v.跳，跳跃；（价格，数字）飞涨，急剧增长；突然行动，急不可待地行动
index n.索引；（物理属性等的）指标；指数
mechanical adj.机械的，机器的；力学的；呆板的
norm n.（尤指社会行为）准则，规范；惯例，典范；常态，正常行为
competitive adj.（与）竞争（有关）的，竞争性的；可与…匹敌的；有竞争力的
explosion n.爆炸，爆发，炸裂；（数量或范围的）迅速扩大；剧增；激增
global adj.（与）全世界（有关）的；全面的
package n.包裹；一揽子（或一整套）建议（或条件）；纸包；盒，箱
rear adj.后面的；后部的
stroke n.中风；（疾病）突然发作；轻抚；敲，响；（事件的）一次，一回；笔划；扑打；冲程；闪击；划桨；尾桨手，领桨；击（球）
dump vt.堆放，扔掉，倾倒（垃圾或废料等）；倾销
fairy n.小精灵，小仙子
exclude v.不包括；对…不予考虑；不准…进入；把…排斥在外；排除
elevate v.提升，提高；提高...的水平；举起，抬起；提拔，晋升；使精神振奋
logic n.逻辑，逻辑推理
frequent adj.频繁的，时常发生的
independent adj.自给的；独立式的；自立的，自力更生的
distribution n.分发，分配；分布
occupy v.占领，占用；住进
tame adj.驯服的，顺从的；沉闷的，乏味的；【非正式】（人）愿意合作的
likewise adv.同样，亦
peer n.同辈；同龄人；同等地位的人，（才能）相匹敌的人；（英国）贵族
execute v.处决；执行；实施（计划，命令，行动过程）；完成
convey v.运输，运送；表达；传达（信息或消息、思想、感想、感觉等）；传递
delegate v.把（任务，责任）委托（或委派、授权）给他人（尤指下属）
slice n.（切下的）薄片；部分；锅铲
leading adj.指导的；最重要的；带头的
prohibition n.禁止，阻止；禁令，禁律
permanent adj.永久的，永恒的，持久的
challenge n.挑战，考验； 挑战书；质询，质疑；异议
remedy n.纠正方法；补救办法；治疗（法）；药品；排遣手段
crisis n.危急时刻；危机
spill v.溢出，洒出，泼出；（一群人）迅速涌出
extent n.广度，范围，程度
cabin n.(轮船上生活或睡觉的)隔间; (飞机的)座舱; (通常为木制的)小屋
enlarge v.（使）变大；（使）扩大；增大
insist v.坚持，坚决要求；坚持说，断言；坚持做（某事）
invisible adj.看不见的，无法看到的；不被注意的，不受重视的，被视为无足轻重的
literal adj.字面的；按照原文的
characterize v.成为…的特征，是…的典型；描述…的特性，形容…的特色
oval adj.椭圆形的；卵形的
voluntary adj.自愿的，志愿的；无偿服务的
donation n.捐款，捐赠物；捐赠，赠送
painful adj.疼痛的；痛苦的；令人不快的；使人烦恼的；费事的
humanity n.［总称］人；人类；人文学科（尤指文学、历史、艺术、音乐和哲学）；人性
crucial adj.决定性的；关键性的；至关重要的
prompt adj.迅速的，立刻的；敏捷的
democratic adj.（与）民主（有关）的
ambitious adj.（计划，工作）要求高的，雄心勃勃的；有强烈成功欲望的，有雄心的；有野心的
prejudice n.偏见；歧视，反感；损害，侵害
undertaking n.任务；工作；事业；企业；承诺，保证
amid prep.在…气氛中；在…背景下；在…之中
selection n.选择，挑选； 被选中者；入选者；可供选择的事物
reduction n.（数量的）削减；（价格的）降低；减少, 缩小；还原
liberal adj.开明的；（制度等）开放的；自由主义的；（教育）通才的
orchestra n.管弦乐队
situate v.使（某物）位于，建于；使处于某种境地
dominate v.支配，统治，控制；俯视；占据优势
distress n.（极度的）焦虑，悲伤，痛苦
protein n.【总称】（尤指作为饮食成分）蛋白质；朊
practicable adj.能实行的，可行的
originate v.发源；来自；发端于；创立；发明
fraction n.小部分；微量；分数
adapt v.使适应；改编
retail n.零售
prose n.散文，白话文
confine v.限制；使局限于；监禁
lawn n.草地，草坪，草场
extensive adj.大量的，数量大的；规模大的；广泛的，全面的；广阔的
overhead adv.在头顶，在上面；在上空
shed vt.脱落，脱去；抛弃（不合意、多余或过时的东西）；取消；射出，发出（光）；（phrase. shed tears）流泪；哭
fascinate v.使着迷，强烈地吸引
missing adj.（东西／人）失踪的；下落不明的；缺掉的，缺少的
costly adj.贵重的；昂贵的；代价高的
harmonious adj.和睦的，一致的；和谐的
innocent adj.清白的；无恶意的，无意冒犯的；无害的；无辜的； 天真的
instruct v.教，指导；指示；命令，吩咐
comedy n.喜剧；滑稽剧；滑稽（或喜剧）电影（或戏剧、广播节目）
fundamental adj.基本的，根本的，基础的，核心的；至关重要的；影响问题的本质（或关键）的；与问题的本质（或关键）有关的
induce vt.诱使，引诱；导致，致使，引起
absolute adj.完全的，绝对的；专制的；【用于强调】彻头彻尾的，十足的
liberate vt.解放（思想），使摆脱思想（或行为）上的束缚
section n.部分，章节；区域，部门；路段；断面
precaution n.预防，防备；警惕；预防措施
justice n.正义；公正，公平；司法，审判；（尤指国家最高法院的）法官
incredible adj.【非正式】极好的，美妙的；难以置信的；非凡的
distinction n.不同；差异；区分；辨别；卓越，杰出
cruise n.航游；游弋
guilty adj.使感到内疚的；有罪的
pitch n.运动场，球场；音高；水平，程度；推销用语；沥青；投球；摊点；坡度
preservation n.保存；保护，维护；保养；维持
diagnose v.诊断，判断，确定（某人的）治疗状况
inspiration n.灵感；启发灵感；鼓舞人心（的人或物）；妙计，好主意
council n.委员会；理事会；（市、县或地方行政区的）政务委员会
learning n.学习；学到的知识
appointment n.任命，委派；约会，预约
geology n.地质学；（某一地区的）地质特征
heritage n.（像历史上有名的建筑物、世代相传的文化传统等）贵重遗产，继承物；传统
victim n.受害者；遇难者；牺牲品
faulty adj.有缺陷的，有问题的，不完美的
treatment n.治疗，医治；对待，待遇；处理
strap n.带子
competition n.竞赛，比赛；竞争，角逐
log v.伐（木），砍（树）；对（事件，观察，测量）作系统记录
compensation n.补偿物，赔偿物（尤指赔偿金）；薪水；工资；使坏的情况变好的事物
obtain v.得到, 获得; 如愿以偿; 通用, 流行; 存在
embassy n.大使馆，大使官邸（或办事处）；（全体）使馆官员
appoint v.任命，指定；约定（时间，地点）；委派（工作，角色）
rug n.（铺于室内部分地面上的）小地毯，毛皮地毯
versus prep.对，对抗；与…相对；与…相比
forthcoming adj.即将来临的；即将发生的；乐于提供消息的
disappearance n.消失；不复存在；不再使用
cooperative adj.合作的；协作的；配合的
reveal v.透露，暴露，泄露，揭露（先前未知或秘密信息）；使显露，展现，显示
absorption n.（被）吸收；（被）合并；被吸引；全神贯注
restrict v.限制，控制；限定某事于（某地、某时、某一类人）
warning n.警告；警报；先兆；鉴戒；前车之鉴
overlook v.俯瞰；忽视，忽略；看漏；不理会
proposition n.（商业的）提议，建议；（表达判断或意见的）陈述，主张；论点；欲做的事，待处理的问题；任务
roller n.滚筒，滚轴；碾轧机； 卷浪，巨浪；塑料发卷；（作定语）（与）四轮溜冰鞋（有关）的，旱冰鞋的
accent n.（某特定国家、地区或社会阶层的）口音；腔调；重音
element n.成分；（抽象事物的）基本组成部分，要素；（化学）元素；基础，纲要；（强风、暴雨等恶劣）天气
bound adj.被…所限制的，被…所束缚的；一定的，肯定会；正在到…去的，准备到…去的
thumb n.（大）拇指
linear adj.直线的，线性的；长度的；连续的，顺序的
numerous adj.众多的；许多的
understanding n.理解；了解；领会；判断
circular adj.（活动，旅行）循环的，环绕一圈的
compatible adj.（两件事物）可和谐共存的；相容的；协调的；兼容的
faithful adj.忠实的, 忠诚的; 可信赖的; 守信的; 尽职的; 认真的; 如实的, 准确可靠的
advertise v.为（产品、服务或事件）做广告，宣传
hostile adj.怀有敌意的；敌对的
impress v.使（人）赞赏尊敬；给（人）好的印象
strategic adj.对全局有重要意义的，关键的；战略（上）的
specimen n.样本，标本，样品；（化验的）血样、尿样等
romantic adj.浪漫的；（与）爱（相关）的，（与）两性关系（相关）的；多情的
soar vi.猛增，剧增；高飞，升腾；（情绪、期望等）高涨；高耸，屹立
render v.致使，造成；给予，提供（服务、帮助等）
endure v.忍受（痛苦，困难），忍耐；继续存在；持久，持续
lover n.爱好者，热爱者；情人
prediction n.预言；预测；预告；预言之事；预料之事；预报之事
bulb n.电灯泡（light bulb的简称）
precise adj.确切的；精确的，精密的；准确的
rarely adv.不常；很少
lag v.落后；赶不上
periodic adj.间歇的；周期（性）的；时而出现（或发生）的
blond adj.（头发）亚麻色的，金黄色的
resolve v.决心, 决定;（使）分解, 溶解; 决议; 解决（问题、争端等）
negative adj.坏的，有害的；（人，态度，情形）消极的；负面的；不受欢迎的；否定的；负极的，阴性的；小于零的
vitamin n.维生素；维他命
champion n.冠军；拥护者
evil adj.恶毒的，邪恶的，有害的；令人讨厌的
exploration n.考察；探索；探险；勘探；研究
proceed v.开始行动；开展，（行动）进行；继续；接着做
proper adj.合适的；适当的，恰当的；正当的，合规矩的；完全的，彻底的
adopt v.采用，采纳（主意、方法或行动进程）；通过，正式批准，接受（报告，建议）；收养
historic adj.〈古〉历史的；过去的；历史上著名的，历史性的
accompany v.伴随，与…一起发生；兼带；附加；陪伴，护送；给…伴奏
gap n.空隙，间隔；间断；隔阂，分歧，差异；缺口
notify v.（正式）通报，知照，通知，告知
criticize v.批评；批判；指责；评论；评价（文艺作品）
stock n.库存；股份，股票；（英国）公债，债券；家畜
interfere v.（未经邀请或没必要）参与，涉入；插手，干涉；扰乱，干扰（过程或活动）（使不能继续或正常进行）
bankrupt adj.破产的；一贫如洗的；缺乏…的
artistic adj.（与）艺术（有关）的，（与）艺术家（有关）的；赏心悦目的，有美感的
subsequent adj.随后的，后来的；紧接的
ancestor n.祖宗，祖先
intention n.意图，打算；预期的东西；目的；计划

beam n.光线，光束；射束；横梁；眉开眼笑
excitement n.刺激，激动，兴奋；令人兴奋的事，刺激的因素
executive adj.行政的；执行的；实行的；管理的
conduct v.组织；执行；实施；进行；导电，传热；指挥
battery n.电池；一系列，一批
balcony n.阳台；（剧院的）楼座
deadly adj.致死的，致命的；极度的
wreck n.失事，残骸；精神或身体已垮的人
poison n.毒物，毒药，毒素
inclination n.兴趣，爱好；倾向，意向；倾斜度
constant adj.不断的；连续的；经常的，不变的
commission n.委员会；佣金；委任；委托；回扣；手续费
continuous adj.持续不断的；连续的；连贯的
capable adj.有能力的，有才能的；能胜任的；可以…的；容许…的
reserve v.预订（房间、座位、入场券等）；把…专门留给
racial adj.人种的，种族的；民族的；种族差异引起的，与种族差异有关的
mate n.〈英，非正式〉朋友；伴侣；伙伴，同事；配偶，配对物
dealer n.交易商，贸易商；毒品贩子
statistic n.统计数据；统计资料；［pl.］统计学
segment n.部分；片段；片；弓形
dissolve v.（使）溶解；解散，解除，终止；关闭；逐渐成为
behavior n.（动物或人对环境或刺激的）反应行为，习惯；行为，举止，待人接物的方式
scratch v.划伤皮肤；挠；取消
grave n.墓穴；坟墓
impression n.（尤指粗浅未多思考的）印象，感想，观感
transform v.转换；彻底改变，使发生巨变，使改变性质；改善
copyright n.版权
prominent adj.显眼的，显著的；突出的，杰出的；重要的；卓越的，著名的
determine v.（使）下决心，（使）做出决定；（尤指通过研究或计算）探知；造成；确定
revelation n.出人意料的真相透露，揭露的惊人内幕；（惊人的）新发现；提示；透露；显示
decisive adj.决定性的；决断的，果断的
tone n.语气，口吻；风格，基调；音色，音调，音质；色调
idealism n.唯心论，唯心主义；观念论；理想主义
pursuit n.追赶，追逐；追捕，追击；追求，寻求；（尤指娱乐或运动类的）特定活动
concrete adj.具体的；明确的；确定的；确实的；混凝土的；有形的
evolve v.（用于指有机体或生物特征）进化；演化；逐步发展；演变
occasion n.（特定的）事件；时刻，场合；机会，理由
contrary adj.相对立的，相反的；截然不同的
scarcely adv.刚好；几乎不，简直不；决不；刚刚，才
defect n.缺点，缺陷
persist v.持续；延续；坚持；执意，执着
accomplish v.达到；完成；实现
sway v.摇动；说服；控制
exhaust v.用完，用光，耗尽（资源，储备物）；使精疲力竭
presentation n.报告，演讲；展示会，发布会；授予；外观，外貌；（新产品，新观点，新作品的）展示；表述；描述
opponent n.对手，敌手；反对者
prime adj.首要的，主要的； 最初的；最好的； 头等的，第一流的；青春的； 精力旺盛的；最典型的； 【数】素数的
descent n.下降，下落，下坡路；血统，家世，门第
worthy adj.值得的，应得的；值得努力的；值得重视的；值得敬重的
theoretical adj.（研究、解释）理论的，理论性的；理论上的；由理论得出的
essence n.本质，精髓，实质；要素；香精
recruit vt.招募（新兵），招聘，招收（员工，支持者）；吸收（新成员）
withstand vt.承受, 经受住, 抵住, 顶住
ensure v.保证，担保；保证得到，保证给予
mathematical adj.数学（上）的
exposure n.暴露；接触；曝光；日晒雨淋；经历
colony n.殖民地
trigger n.起因，诱因；扳机；触发器
compel v.强迫，迫使（某人做某事）；使必须
conclusion n.结论；推论；推断
jewel n.宝石；宝石饰物，首饰
core n.根本；核心；（天体的，尤指地球的）核，中心；（水果的）果心
breadth n.广泛性，广度
sustain v.保持；使持续不断；承受；支持，支撑
hearty adj.（感情，想法）由衷的，衷心的；热情的；（尤指食物）大量的，丰盛的
fellowship n.（学术或专业团体的）会员资格；伙伴关系，友谊，交情；团体，协会，联谊会；奖学金
appropriate adj.适当的，合适的，恰当的
interpret v.解释，说明，阐明，阐释（信息或行为）；理解（行为，情绪或行为方式的）特殊含义；口译
anniversary n.周年纪念日；成立周年纪念日
reinforce v.加强，加固；强化；（感情，看法，习惯）增进，加深
tender adj.嫩的，柔软的；脆弱的；易碎的；和善的，温柔的；年轻的；没有经验的；多愁善感的；棘手的，微妙的
fiction n.小说，虚构
strain v.扭伤，劳损；竭尽全力；拉紧
charter n.特许，凭照，许可证
instrument n.乐器；工具；仪器，器械
circumstance n.经济状况；物质条件；情况，条件，形势，环境
luxury n.奢侈，奢华；奢侈享受；奢侈品，高档物品
revise v.更正；修改，修正；复习
pinch v.捏， 掐， 拧，捏住； 节约，节省
energetic adj.精力充沛的，充满活力的；积极的；需要剧烈活动的
fuss n.大惊小怪；瞎忙；小题大做
spray n.水沫；喷雾；喷雾剂；喷雾器；飞沫状物； 小树枝；小花枝
chase v.追捕，追逐
stem n.（植物、灌木的）茎，干；词干；血统
paw n.（动物的）爪子
frank adj.公开的，诚挚的，不加掩饰的
validity n.（法律上的）有效，合法性；（正式的）认可；符合逻辑，确凿，正当
elect v.选举，推举；作出选择
burial n.葬礼；出殡
approve v.批准，同意，认可
nuisance n.讨厌的人（或东西、情况）；麻烦事；妨害行为
intake n.吸收，吸入；（食物、空气等物质的）摄入量；吸入量
gesture n.（尤指用手或头所做的）示意动作，手势；姿态
sack n.麻袋，包；［the ～］解雇；洗劫，劫掠
explosive n.爆炸物品；炸药
marshal v.结集，收集；安排；控制人群；调集，集结
excel v.擅长，善于；出色，突出
downward adj.向下的
specifically adv.特别地，特定地；明确地，具体地；特意；专门地
poverty n.贫穷，贫困
ounce n.一点点，少量；盎司（重量单位，约28克）
economical adj.经济的，合算的；节约的
prior adj.（时间，顺序，重要性）在先的，在前的；居先的；先前的；更重要的
civilian n.平民，老百姓（区别于军、警）
intelligent adj.（设备、建筑物）智能的；有智力的，有才智的（尤指才智高的）
outlook n.观点，看法；展望，前景；世界观，人生观
incidence n.（疾病、犯罪等的）发生，发生率
rational adj.理性的，理智的；明事理的；基于理性的，合理的；基于逻辑的，合乎逻辑的；神智健全的；有理数的
conjunction n.（事件）同时（或同地）发生；（词汇）连词
literary adj.文学的，与文学相关的
hook n.钩子；钩拳；曲线球；吸引人的事物，噱头
artificial adj.人工的，人造的；虚伪的
orient v.使朝向；以…为方向；确定方位，认识方向；（使）熟悉；使适应；调节
lodge v.提出（投诉、抗议等）；把…嵌入；租房；暂住，借宿
assure v.使必然发生；保证，确信，确保
establishment n.成立，建立；企业；公共机构；家庭；（某一职业或活动领域的）权威派
prohibit v.（通过法律、条例等）禁止，阻止某人做某事
characteristic n.特性, 特征, 特点, 特色
infant n.婴儿；幼儿
legislation n.立法，法律的制定；【总称】法律，法规
toll n.过路费，过桥费；不利影响；（自然灾害、冲突、事故等的）伤亡人数
supervise v.监督；管理；指导；主管
retirement n.退休；退职；退役；退休生活；退休年龄
sponsor n.赞助者，赞助商；（法案的）发起者
regulate v.控制，调节，调整（机器或过程的速率）；（尤指对商业活动）管理，制约
interaction n.交流；直接接触；互相往来；相互作用；相互影响，互动（性）
mechanism n.机械装置，机件；机制；机理
acknowledge v.公认…的重要性（或质量）；接受，承认…的存在（或真实性）；致意
kit n.配套元件；成套设备；一套工具；包
cancel v.（因素，情况）抵消，对消；取消，中止
identical adj.（双胞胎）同卵的；完全相同的，一模一样的
penetrate v.穿透，渗透；（尤指在困难的情况下）进入，深入（组织，地方或系统）
passion n.激情，热情
mathematics n.数学
alter v.（尤指以微小但显著的方式）改变
banner n.名义；口号，奋斗目标；横幅；旗，旗帜
paragraph n.段落；节
stake n.桩；火刑柱；利害关系；（在某种生意、状况或体系中的）股份，参股；利益；赌金，赌注；奖金
competent adj.（人）有能力的，能干的
conceal v.隐瞒，隐藏；掩盖
possess v.具有；【律】持有，私藏；占有, 支配; 影响, 控制
pregnant adj.怀孕的，妊娠的；意义重大的，意味深长的
reception n.接受，接纳；接待，迎接；（旅馆、组织等场所的）接待处；前台；招待会；（无线电、电视等）接收效果
abuse n.滥用，妄用；虐待；凌辱
interval n.（时间的）间隔，间歇
canal n.运河; 沟渠; (动植物体内的)管, 道
intermediate adj.中间的；中级的，中等程度的，中等知识（或技术）水平的
steady adj.稳定的，稳固的，沉稳的；规则的；惯常的；持续的；不变的；经常的，固定的
bucket n.桶，水桶，吊桶
admission n.（一地或组织的）准入；入场费, 入会费；入场券；承认, 供认
workshop n.研讨会，讲习班；车间；作坊
heighten v.增强，变强
ditch v.抛弃, 摆脱, 丢弃, 使（飞机）在海上紧急降落
conservative adj.反对改革的；保守的，守旧的；传统的；（政治上）持右倾观点的
conference n.（尤指召开数日的）正式会议；讨论会，协商会
folk n.各位，大伙儿（用作友善称呼）；〈非正式〉人们（泛指）
harness vt.控制并利用（自然资源）；给（马等）上挽具
object n.（可见或可触摸的）物体，东西；目的, 宗旨；<语>宾语；<哲>客体, 客观；（思想或行动的）对象
vital adj.充满活力的，活泼的；必不可少的，必要的
impatient adj.不耐烦的，急躁的
announce v.宣布，宣称，宣告；通知；广播
imitate vt.模仿，仿效，仿制
whatsoever adv.【用于强调】完全，全然
generalize v.作一般概括（或总结）
legal adj.法定的；法律的，与法律有关的
competitor n.（商业或经济上的）竞争对手，竞争者
strip n.条，带；带状地带；队服
oppose v.反对，阻挠
grind v.碾碎, 磨碎; 磨成; 磨光; 磨快; 压榨, 折磨; 苦心地教, 反复灌输
arise v.（问题，机会，情况）浮现；呈现，出现；上升，引起
continuity n.连贯的存在（或活动）；连续的整体；连续性；持续性
emit v.排放，散发，发出（尤指气体、辐射物）
expansion n.扩大；扩充；扩张；扩展；发展
hence adv.因此，所以；由此
incline n.斜坡，斜面；斜度
jail n.监狱，看守所
signature n.签名，署名；签字；字帖
modest adj.谦虚的， 谦逊的；（数量，等级，水平）适中的，适度的；有限的；朴素的
determination n.（目的）坚定不移；坚决；果断
drain v.耗尽；排出，排干；喝光；使精疲力竭，使无精打采
grief n.（尤指某人的亡故造成的）悲伤，悲痛
resistance n.反抗，抗拒，抵制；阻力；免疫力；电阻
ghost n.鬼，鬼魂
bold adj.勇敢的，鲁莽的；粗（字）体的，黑（字）体的，醒目的
exceptional adj.优越的；杰出的，优秀的；异常的，特别的
bounce v.（光，声音或电子信号接触物体后）反弹，反射
territory n.领土，版图，领地；（知识）领域，范围
tremendous adj.（数额、规模或强度上）极大的，巨大的；极好的
breakdown n.（关系）破裂，（沟通）失败；崩溃，故障
orientation n.方向，目标；个人基本信仰，态度；（大学或其他机构的）培训，训练；迎新会
dismiss v.对…不屑考虑；让…离开；把…打发走；遣散；摒弃，摒除；解雇
unity n.团结，一致；联合（状态）；统一（状态）
attendance n.出席；到场；出席人数，出席率；参加
handicap n.生理缺陷，残疾；障碍；阻碍
abundance n.大量，多；丰盛；充裕
personality n.个性，人格；魅力，气质；名人；特色，特征
seemingly adv.表面上；显得；好像
alongside prep.同时，共存；与…一起，在…旁边，与…合作
vacuum n.真空；真空容器；真空吸尘器；空白，空虚
memorial n.纪念碑，纪念物
evolution n.进化，演变，演进，演化
hospitality n.好客，殷勤；（款待客人的）食物、饮料、服务等
invasion n.侵略，入侵；拥入，涌入，大批进入，侵入
thoughtful adj.经缜密思考的；注意的；体贴的
reputation n.名声，美名，名誉
charm n.魔力；魅力，吸引力；护身符；小饰物
personnel n.人员，员工；人事部门
civil adj.公民的；市民的；国民的；民用的（区别于军事、宗教事务的）
moist adj.微湿的；湿润的，潮湿的
loose adj.宽松的；松动的；脱位的
instructor n.教员；教师
billion num.十亿；十亿英镑（或美元）
soften v.使柔软，使柔和；（使）缓和；减轻，减缓
insult v.侮辱，辱骂
span n.持续时间；一段时间；全长，距离
transportation n.运输；运输系统；交通工具
eternal adj.不朽的，永恒的；无休止的
onward adj.继续的；向前的
ornament n.装饰；装饰品（尤指小雕像一类的小物件）
vacation n.假期，休假；休息日
residence n.住处，住宅；居住，（合法）居住资格
leisure n.闲暇；空闲；休闲
illustrate v.举例说明；以图表说明
pit n.坑，穴，洼，壕沟，地洞；【主北美】果核；正厅后座
colonial adj.（与）殖民地（有关）的；殖民地所特有的
hail v.热情称赞（人或物）；出生地是，来自；招呼，呼喊；下冰雹
criminal adj.犯罪（性质）的，犯法的；【律】刑事的
acceptance n.接纳；接受；同意，认可；接收
settlement n.解决，处理；定居地；殖民（地）；（尤指诉讼双方在法庭外达成的）和解；结算
precision n.准确度，精密度；准确性；确切性
lodging n.暂住，寄宿；寄宿处
assembly n.立法机构，议会；集合，集会的人们；装配，组装
liquor n.酒，烈性酒
sphere n.（活动、兴趣、专业知识的）范围，领域；球体，球面；苍穹；社会阶层
underline v.强调，突出；在（词语等下）画线；画底线标出
spoil v.损害；破坏；毁坏；糟蹋；悉心照料；娇纵，百般照顾；（使）腐坏
casual adj.（衣服）适合日常穿着的；便服的；不过多考虑的；没有预先计划的；轻松的；漠不关心的
continual adj.连续的；频繁（重复）的；无间断的，不断的；不停的
banker n.银行家；庄家
bid n.出价；投标；努力争取
surplus n.过剩; 剩余; [会计]盈余; 公积金; 顺差
bulk n.大宗，大批（买卖）；（大）体积，（大）量
equivalent adj.（在价值、数量、功能、意义等方面）相等的，相同的，等同的
symbol n.象征，象征物；符号，标志
minor adj.（重要性、严重性或意义上）较小的，次要的；较轻微的；未成年的；副修的；少数的
accord n.正式协议；条约
precious adj.贵重的；珍贵的，宝贵的
reform v.改革，变革
ridicule n.嘲笑，嘲弄，戏弄；奚落
deposit v.放下, 放置; 存放, 寄存; 存钱; (使)沉淀, (使)沉积; 付, 预付
consequence n.（不受欢迎的或令人不快的）结果，后果；影响
broaden v.变开阔，扩大（以容纳更多的人或事）
export v.输出，出口（商品，服务）
width n.宽阔，广阔，宽度
complicate v.使难以理解；使复杂化
apparent adj.清晰可见的，清晰明了的；明显的；表面上的
consumer n.消费者；顾客；用户
species n.【生】物种，种；【幽默】同类人
participate v.参加；参与
provision n.提供，供给，给养；供应量，供给物；规定，条款
elevation n.高度；海拔；提高，抬起；提升，晋升；立视图
genius n.天才；非凡创造力；天赋，天分；特别能干的人
inherit v.继承（金钱，财产，头衔）；（从前人、前任等）接过，得到
orbit n.轨道，轨迹
devil n.魔鬼, 恶魔; 魔王; 撒旦; 淘气鬼; 任性的人; 家伙; 极难对付的事物; 切碎机
existence n.存在；继续生存；生活（方式）
observer n.观察者；（尤指政治事件的）观察家
gathering n.（尤指为特定目的举办的）聚会，集会；收集，采集
literacy n.识字，有读写能力；（特定领域的）能力（或知识、技能）
tackle v.处理，决心处理（问题，难题）；阻截；与某人交涉
plantation n.种植园，人工林
rival n.竞争对手，敌手
genuine adj.真的；非伪造的；（人、感情或行为）真诚的，真心的
constitute v.为…的成分；构成；组成
scope n.范围；领域；眼界；余地，机会；观察仪器(显微镜、望远镜等)
frustrate v.（尤指因无法改变或实现某事而）使心烦；使懊恼；阻止；挫败
verify vt.证实，查证，证明
comparative adj.比较的；比较研究的；用比较方法的
disturb v.使担心；使焦虑；扰乱，妨碍
pat v.（用手掌）轻拍，轻打
compound n.复合物；化合物；复合词；有围墙的房群, 大院；用围墙围住的场地
multiply v.乘；（使）大量增加；繁殖
maintenance n.维护，养护；供养，扶养；抚养费
flee v.（因危险而）逃走，逃掉
skeleton n.骨架，骨骼；骨瘦如柴的人（或动物）；框架，提纲，概要
swing v.摇动；摆动；改变；使改变态度
monstrous adj.丑恶的；道德败坏的；骇人的；巨大的
bible n.《圣经》
consist v.由…组成，由…构成；存在于
condemn v.谴责，责难；反对；宣判，判处（某人刑罚）
domestic adj.国内的；家的，家庭的；家用的；驯养的
classify v.将…归入一级别（或一个类）
puzzle n.令人费解的人（或事）；难题，疑问；谜；测验智力（或知识）的游戏（或玩具，问题）
miracle n.奇迹，人间奇迹；令人惊叹的产品（或成果）；惊人事例
partial adj.部分的；偏袒的，偏爱的
virtually adv.几乎；差不多；实际上，事实上
optimistic adj.乐观的，乐观主义的
slightly adv.稍微地，些许地
organism n.生物体，有机体
suspicious adj.感到怀疑的；令人怀疑的；不信任的；持怀疑态度的
recession n.（经济的）衰退（期）
metric adj.米的；米制的，公制的
defeat v.击败, 战胜; 挫败; 使落空
bargain n.物美价廉的东西；交易，买卖
indifferent adj.不感兴趣的；冷淡的；不同情的；不关心的
whale n.鲸
illegal adj.非法的，不合法的（尤指违背刑法的）
satisfactory adj.令人满意的；可接受的
fence n.（通常为木头或铁丝的）篱，篱笆；栅栏，围栏
succession n.一系列，一连串；连续；交替，更迭；继任；继承权
violence n.暴力；暴行
crime n.罪，罪行；非法行为；违法行为
objection n.反对，异议；反对的理由
circuit n.电路，（电的）回路，线路
magnetic adj.有磁性的；与磁性有关的；有吸引力的
foundation n.基础；基本原理；地基；基金会；建立，创办
haunt v.（尤指在脑际）萦绕；（鬼魂）出没；长期不断地缠扰（某人）
multiple adj.许多，多种多样的
elbow v.用肘部，用肘挤
temporary adj.临时的；暂时的；短暂的
anticipate v.认为…很有可能；期望；预料
flexible adj.灵活的，可变通的；易弯曲的，柔韧的
evaluate v.估…的值；定…的价；对…进行评价（或评估）
couch n.长沙发; 长椅
urgent adj.紧迫的，急迫的，紧要的
outline v.概述，概括；显示…的轮廓：勾勒…的外形
mild adj.轻微的；不严重的；温和的；和善的；和煦的
trash n.垃圾，废物；拙劣的文学（或艺术）作品；没用的人，社会渣滓，败类
refreshment n.小食，点心，饮料；恢复活力，焕发精神
amateur adj.业余爱好者的
mysterious adj.神秘的；不可思议的；难以理解的；无法解释的
enthusiasm n.热情，热心，热忱；巨大兴趣
sufficient adj.足够的，充分的
defy vt.反抗，藐视，挑衅；经受住，抗住
initiate v.开始（过程，行动）；发起，创始
contradiction n.矛盾；对立；抵触
framework n.框架；机制；准则
pillar n.柱，栋梁
misfortune n.不幸，厄运，逆境；灾难，灾祸；不幸事故
instantaneous adj.瞬间发生的；瞬间完成的
occupation n.工作；职业；占领，占用
ambition n.雄心，抱负，志向，野心
effective adj.能产生（预期）效果的，有效的
goodness n.善；正义
motion n.动；移动；动作
entertainment n.娱乐，娱乐节目；娱乐表演
screw n.螺丝（钉）
stain v.在…上留下污迹；玷污；染污；着色
glow n.白热光；脸红；激情
container n.容器；集装箱
unemployment n.失业；失业状态；失业人数，失业比率
outstanding adj.杰出的，出众的；突出的，显著的
reproduction n.复制品；复制；繁殖，繁育
mortgage n.按揭贷款；（尤指因购买地产所需的）抵押
temper n.易怒的性情；易发脾气的性格；情绪，心情
troop n.军队；部队；士兵
universe n.天地万物；宇宙
eliminate v.消除，根除，排除，剔除
orderly adj.整齐的，有条理的；（人或人群）规矩的，遵守秩序的
tunnel n.隧道；地道
employer n.雇佣者，雇主
