harvest     n.收获（期）；成果，收获物，收成
counterpart     n.职位（或作用）相当的人, 对应的事物; 副本
progressive     adj.进步的，先进的；逐步的
breakdown     n.崩溃，故障，失败；分类
suck     v.吮吸，咂，啜，含在嘴里吸食；糟糕，差劲
compose     v.组成；写作；作曲；使镇静
eager     adj.渴望的，热切的
bless     v.祝福, 求上帝降福, 祝圣, 称颂上帝
blind     adj.失明的，盲的；盲目的；视而不见的
seize     v.抓住, 捉拿, 夺, 没收
harbor     n.港口, 港湾, 〈比喻〉避难所, 【军】坦克掩蔽场
outstanding     adj.优秀的，杰出的；突出的，显著的；未解决的，未偿付的
contrary     adj.相反的，截然不同的
shelf     n.搁板，架子；陆架, 陆棚；（悬崖上或海底）突出的岩石
nest     n.窝, 鸟巢, 巢穴, 鸟窝
dull     adj.枯燥无味的, 沉闷的, 无聊的, 不明亮的
festival     n.节, 节日, 节期, 喜庆日
horrible     adj.极坏的, 十分讨厌的, 可恶的, 令人震惊的；恐怖的
repeatedly     adv.重复地, 再三地, 一次次地
eighteen     num.十八
van     n.客货车, 厢式送货车, 面包车（通常为 12 座左右）
suspend     v.推迟；暂停；取消；悬挂
accomplish     v.完成
accordingly     adv.因此, 所以, 照着, 相应地
halt     v.使停止，阻止；使中断
presumably     adv.大概, 很可能, 想必是
consult     v.咨询；查阅；商讨
eleven     num.十一
acre     n.英亩（4 840 平方码，约为 4 050 平方米）
god     n.上帝, 天主, 真主, （某些宗教中主宰某个领域的）神
contest     n.比赛，竞赛；竞争
organizational     adj.组织的
corruption     n.腐败, 贪污, 受贿, 贿赂
lung     n.肺
empire     n.帝国; 大企业; 商业王国; 活动领域; 最高统治权
photographer     n.摄影家, 【摄】摄影师, 照相师
breed     n.品种; 类型
violent     adj.暴力的，强暴的；感情强烈的，激情的；剧烈的，强烈的
brilliant     adj.聪颖的，才华横溢的；优秀的，卓越的，极好的； (声名)显赫的，成功的，辉煌的；明亮的，灿烂的，光辉的
opponent     n.对手，敌手；反对者
universal     adj.普遍的，通用的；全世界的，共同的
endure     v.忍耐，容忍；持久，持续
rabbit     n.兔肉, 兔毛, 【动】兔子, 弱手
announcement     n.通告, 宣告
abortion     n.流产, 堕胎, 败育, 失败
organic     adj.有机的; 器官的; 有机体的; 组织的; 根本的; 简单的, 接近自然的
hypothesis     n.假设, 假说; (凭空的)猜测
entertain     v.娱乐; 招待; 心存, 怀有（情感）
random     adj.随机的，随意的
endorse     v.支持, （尤指在支票背面）签名，背书, （在广告中）宣传, （在驾驶执照上）记录违章事项
bullet     n.子弹, 弹丸
bunch     n.束, 串, 扎, 大量, 一伙, 一群
bundle     n.捆，束
ambition     n.雄心，野心，抱负
weakness     n.疲软, 软弱, 缺点, 虚弱
refugee     n.避难者；逃亡者；难民
sigh     v.叹息, 叹气, 叹着气说, 叹息道
outlet     n.出口；发泄途径；批发商店
inquiry     n.打听，询问；调查，查问；探究，探索
constitute     v.组成，构成；成立，设定
cruise     n.航行；乘船游览
controversy     n.（公开的）争论，争议
mask     n.面具, 面罩, 面膜, 掩饰
overcome     v.克服, 解决, 战胜, 受到…的极大影响
sheep     n.绵羊, 胆小鬼, 【动】羊, 〈侮辱,非正式〉羞怯的人
recovery     n.恢复，复原，痊愈
grace     n.优雅，优美；风度，体面；恩典；宽限期
tempt     v.诱惑；吸引；使感兴趣
apple     n.苹果
stir     v.搅动，搅拌，搅和；煽动，挑起；稍稍活动
tense     adj.焦虑不安的；绷紧的；令人紧张的
interfere     v.干预，干涉；妨碍
calculation     n.计算
measurement     n.测量，度量；（某物的）尺寸，长度，数量
whoever     pron.无论谁, …的那个人（或那些人）, …的任何人, 不管什么人
grass     n.草, 草地, 牧草, 青草
damn     adv.（表示厌烦）该死, 极
pant     v.气喘, 喘息; 气喘吁吁地讲; 渴望
parallel     adj.平行的，并列的
artistic     adj.艺术的
invent     v.发明, 创造, 编造, 捏造
intervene     v.干涉，干预，阻挠；调停；打断（说话）；发生于…之间
strictly     adv.严格地, 无论如何, 完全地, 确切地
defensive     adj.防御的, 保护的, 保卫的, 戒备的
barely     adv.仅仅, 只不过; 几乎不; 贫乏地; 光秃秃地
invitation     n.邀请, 请柬, 请帖, 招致
menu     n.菜单, （功能选择）菜单, 选单
merchant     n.商人; 批发商; (尤指)外贸批发商; (某活动的)爱好者
mere     adj.仅仅的，只不过的
cap     n.（尤指男用有帽舌的）便帽, 软帽, （大学师生在特别场合戴的）方帽, 盖子
remote     adj.遥远的; 偏远的; 远程的; 关系疏远的; (机会、可能性)渺茫的; 孤高的, 超然的
carbon     n.碳, 碳（指导致全球变暖的二氧化碳气体）, 复写纸
jet     n.喷气式飞机, 喷嘴, 喷射流, 喷射口
therapy     n.治疗, 疗法
curtain     n.帷幕, 窗帘, 幔, 网眼帘子
designer     n.设计者, 构思者
simultaneously     adv.同时, 联立, 急切地
identical     adj.完全相同的；同一的
questionnaire     n.调查表；问卷
graph     n.图, 图表, 曲线图
biological     adj.生物学的, 生物的, 与生命过程有关的, 加酶的
joy     n.快乐, 乐事, 〈口〉成功, 【女名】乔伊
incentive     n.激励, 刺激, 鼓励
republic     n.共和国，共和政体
integration     n.一体化, 结合, 融入群体或社会, 【政】取消种族隔离
viewer     n.观察者, 观看者, 电视观众, （幻灯片）观看器
pen     n.钢笔, 圈, 围栏, 畜栏
catalog     n.目录册, 产品样本, 学校便览, 一览表
dependent     adj.依靠的, 依赖的; 取决于…的; 有瘾的
deposit     v.放下, 放置; 存放, 寄存; 存钱; (使)沉淀, (使)沉积; 付, 预付
mode     n.方式, 样式, 风格, 工作状态
descend     v.下降；降临；降低身份
literally     adv.按字面，字面上；真正地，确实地；简直
